id,skill,category,confidence score
f94c6314723a7b5e082fcf5b73724021,leader,PersonType,0.53
f94c6314723a7b5e082fcf5b73724021,micron,Organization,0.71
f94c6314723a7b5e082fcf5b73724021,crucial ballistix,Organization,0.53
f94c6314723a7b5e082fcf5b73724021,today,DateTime,0.8
f94c6314723a7b5e082fcf5b73724021,memory storage technologies,Skill,0.77
f94c6314723a7b5e082fcf5b73724021,dram,Product,0.78
f94c6314723a7b5e082fcf5b73724021,3d,Product,0.52
f94c6314723a7b5e082fcf5b73724021,3d,DateTime,0.8
f94c6314723a7b5e082fcf5b73724021,memory,Product,0.46
f94c6314723a7b5e082fcf5b73724021,financial insights,Skill,0.96
f94c6314723a7b5e082fcf5b73724021,communication,Skill,0.87
f94c6314723a7b5e082fcf5b73724021,micron,Organization,0.58
f94c6314723a7b5e082fcf5b73724021,employee,PersonType,0.69
f94c6314723a7b5e082fcf5b73724021,employee,PersonType,0.79
f94c6314723a7b5e082fcf5b73724021,professional development training,Skill,0.78
f94c6314723a7b5e082fcf5b73724021,micron,Organization,0.71
f94c6314723a7b5e082fcf5b73724021,clinic,Location,0.42
f94c6314723a7b5e082fcf5b73724021,fitness center,Location,0.93
f94c6314723a7b5e082fcf5b73724021,activity rooms,Location,0.8
f94c6314723a7b5e082fcf5b73724021,micron,Organization,0.67
f94c6314723a7b5e082fcf5b73724021,casual dress attire,Product,0.81
f94c6314723a7b5e082fcf5b73724021,applicants,PersonType,0.76
f94c6314723a7b5e082fcf5b73724021,veteran,PersonType,0.94
f94c6314723a7b5e082fcf5b73724021,micron,Organization,0.69
f94c6314723a7b5e082fcf5b73724021,1-800-336-8918,PhoneNumber,0.8
f94c6314723a7b5e082fcf5b73724021,208-368-4748,PhoneNumber,0.8
f94c6314723a7b5e082fcf5b73724021,idaho,Location,0.6
f94c6314723a7b5e082fcf5b73724021,united states,Location,0.91
f94c6314723a7b5e082fcf5b73724021,technology development,Skill,0.93
f94c6314723a7b5e082fcf5b73724021,college,Location,0.93
f94c6314723a7b5e082fcf5b73724021,engineering,Skill,1.0
f94c6314723a7b5e082fcf5b73724021,4,Quantity,0.8
e873ee91428402a2bfa5631ade4857a2,cargill,Organization,0.96
e873ee91428402a2bfa5631ade4857a2,cocoa,PersonType,0.43
e873ee91428402a2bfa5631ade4857a2,farmers,PersonType,0.52
e873ee91428402a2bfa5631ade4857a2,shrimp,Product,0.66
e873ee91428402a2bfa5631ade4857a2,farming,Skill,0.44
e873ee91428402a2bfa5631ade4857a2,employees,PersonType,0.98
e873ee91428402a2bfa5631ade4857a2,employees,PersonType,0.99
e873ee91428402a2bfa5631ade4857a2,sr,Quantity,0.8
e873ee91428402a2bfa5631ade4857a2,data scientist,PersonType,0.68
e873ee91428402a2bfa5631ade4857a2,technical skills,Skill,0.92
e873ee91428402a2bfa5631ade4857a2,developing,Skill,0.89
e873ee91428402a2bfa5631ade4857a2,statistical forecasting,Skill,0.76
e873ee91428402a2bfa5631ade4857a2,machine learning,Skill,0.96
e873ee91428402a2bfa5631ade4857a2,develop,Skill,0.91
e873ee91428402a2bfa5631ade4857a2,cargill,Organization,0.88
e873ee91428402a2bfa5631ade4857a2,developing,Skill,0.68
e873ee91428402a2bfa5631ade4857a2,proof concepts,Skill,0.68
e873ee91428402a2bfa5631ade4857a2,fully-deployable solutions,Skill,0.77
e873ee91428402a2bfa5631ade4857a2,develops,Skill,0.77
e873ee91428402a2bfa5631ade4857a2,food,Product,0.52
e873ee91428402a2bfa5631ade4857a2,bio-industrial,Skill,0.98
e873ee91428402a2bfa5631ade4857a2,animal nutrition,Skill,0.84
e873ee91428402a2bfa5631ade4857a2,salt,Skill,0.52
e873ee91428402a2bfa5631ade4857a2,agricultural supply chain,Skill,0.97
e873ee91428402a2bfa5631ade4857a2,shipping,Skill,0.99
e873ee91428402a2bfa5631ade4857a2,code models,Skill,0.76
e873ee91428402a2bfa5631ade4857a2,algorithms,Skill,0.98
e873ee91428402a2bfa5631ade4857a2,data,Skill,0.63
e873ee91428402a2bfa5631ade4857a2,exploratory techniques,Skill,0.97
e873ee91428402a2bfa5631ade4857a2,model development,Skill,1.0
e873ee91428402a2bfa5631ade4857a2,back-testing,Skill,0.84
e873ee91428402a2bfa5631ade4857a2,accuracy measurements,Skill,0.82
e873ee91428402a2bfa5631ade4857a2,communication,Skill,0.62
e873ee91428402a2bfa5631ade4857a2,technical risks,Skill,0.84
e873ee91428402a2bfa5631ade4857a2,business,Skill,0.54
e873ee91428402a2bfa5631ade4857a2,pipeline forecasting,Skill,0.9
e873ee91428402a2bfa5631ade4857a2,data science,Skill,0.98
e873ee91428402a2bfa5631ade4857a2,business,Skill,0.94
e873ee91428402a2bfa5631ade4857a2,strategies,Skill,0.71
e873ee91428402a2bfa5631ade4857a2,communication,Skill,0.91
e873ee91428402a2bfa5631ade4857a2,technical,Skill,0.66
e873ee91428402a2bfa5631ade4857a2,design strategies,Skill,0.97
e873ee91428402a2bfa5631ade4857a2,algorithms,Skill,0.99
e873ee91428402a2bfa5631ade4857a2,analyze,Skill,0.96
e873ee91428402a2bfa5631ade4857a2,database,Skill,0.81
e873ee91428402a2bfa5631ade4857a2,database specialists,PersonType,0.6
e873ee91428402a2bfa5631ade4857a2,data scientists,PersonType,0.93
e873ee91428402a2bfa5631ade4857a2,business,Skill,0.61
e873ee91428402a2bfa5631ade4857a2,work on-,Skill,0.65
e873ee91428402a2bfa5631ade4857a2,time budget,Skill,0.86
e873ee91428402a2bfa5631ade4857a2,develop,Skill,0.54
e873ee91428402a2bfa5631ade4857a2,data analytics,Skill,0.86
e873ee91428402a2bfa5631ade4857a2,degree,Quantity,0.8
e873ee91428402a2bfa5631ade4857a2,data science,Skill,0.95
e873ee91428402a2bfa5631ade4857a2,computer science,Skill,0.89
e873ee91428402a2bfa5631ade4857a2,6 years,DateTime,0.8
e873ee91428402a2bfa5631ade4857a2,business,Skill,0.92
e873ee91428402a2bfa5631ade4857a2,degree,Quantity,0.8
e873ee91428402a2bfa5631ade4857a2,data science,Skill,0.97
e873ee91428402a2bfa5631ade4857a2,computer science,Skill,0.93
e873ee91428402a2bfa5631ade4857a2,math,Skill,0.58
e873ee91428402a2bfa5631ade4857a2,5 years,DateTime,0.8
e873ee91428402a2bfa5631ade4857a2,computer science,Skill,0.96
e873ee91428402a2bfa5631ade4857a2,3 years,DateTime,0.8
e873ee91428402a2bfa5631ade4857a2,time series temporal machine learning,Skill,0.95
e873ee91428402a2bfa5631ade4857a2,arima,Skill,0.96
e873ee91428402a2bfa5631ade4857a2,exponential smoothing,Skill,0.99
e873ee91428402a2bfa5631ade4857a2,arch/garch,Skill,0.77
e873ee91428402a2bfa5631ade4857a2,testing seasonality,Skill,0.56
e873ee91428402a2bfa5631ade4857a2,hetero-skedasticity,Skill,0.95
e873ee91428402a2bfa5631ade4857a2,multicollinearity,Skill,0.99
e873ee91428402a2bfa5631ade4857a2,knowledge,Skill,0.71
e873ee91428402a2bfa5631ade4857a2,model tuning,Skill,0.7
e873ee91428402a2bfa5631ade4857a2,deployment,Skill,0.94
e873ee91428402a2bfa5631ade4857a2,monitoring,Skill,1.0
e873ee91428402a2bfa5631ade4857a2,agriculture,Skill,0.93
e873ee91428402a2bfa5631ade4857a2,commodity business,Skill,0.75
e873ee91428402a2bfa5631ade4857a2,weather,Skill,0.89
e873ee91428402a2bfa5631ade4857a2,geospatial data,Skill,0.99
e873ee91428402a2bfa5631ade4857a2,consumer,PersonType,0.89
e873ee91428402a2bfa5631ade4857a2,marketing,Skill,1.0
e873ee91428402a2bfa5631ade4857a2,sales data,Skill,0.98
e873ee91428402a2bfa5631ade4857a2,experience databases,Skill,0.69
e873ee91428402a2bfa5631ade4857a2,hadoop,Organization,0.59
e873ee91428402a2bfa5631ade4857a2,distributed computing frameworks,Skill,1.0
e873ee91428402a2bfa5631ade4857a2,software development,Skill,0.96
e873ee91428402a2bfa5631ade4857a2,code,Skill,0.56
e873ee91428402a2bfa5631ade4857a2,management,Skill,0.97
e873ee91428402a2bfa5631ade4857a2,versioning,Skill,0.99
e873ee91428402a2bfa5631ade4857a2,engineering,Skill,0.91
e873ee91428402a2bfa5631ade4857a2,binning,Skill,0.97
e873ee91428402a2bfa5631ade4857a2,transformations,Skill,0.89
e873ee91428402a2bfa5631ade4857a2,employer,PersonType,0.9
e873ee91428402a2bfa5631ade4857a2,research,Skill,0.51
402c05327ee5ec831f2a4b00eee1e815,business,Skill,0.84
402c05327ee5ec831f2a4b00eee1e815,customers,PersonType,0.96
402c05327ee5ec831f2a4b00eee1e815,starbucks,Organization,0.91
402c05327ee5ec831f2a4b00eee1e815,customers,PersonType,0.92
402c05327ee5ec831f2a4b00eee1e815,starbucks,Organization,0.93
402c05327ee5ec831f2a4b00eee1e815,analytics,Skill,0.59
402c05327ee5ec831f2a4b00eee1e815,business optimization,Skill,0.83
402c05327ee5ec831f2a4b00eee1e815,innovation,Skill,0.9
402c05327ee5ec831f2a4b00eee1e815,business,Skill,0.74
402c05327ee5ec831f2a4b00eee1e815,starbucks,Organization,0.86
402c05327ee5ec831f2a4b00eee1e815,customers,PersonType,0.93
402c05327ee5ec831f2a4b00eee1e815,self-service,Skill,0.73
402c05327ee5ec831f2a4b00eee1e815,customers,PersonType,0.75
402c05327ee5ec831f2a4b00eee1e815,build tools,Product,0.54
402c05327ee5ec831f2a4b00eee1e815,agile methodology,Skill,0.79
402c05327ee5ec831f2a4b00eee1e815,tableau visualization,Skill,0.67
402c05327ee5ec831f2a4b00eee1e815,technologies,Skill,0.79
402c05327ee5ec831f2a4b00eee1e815,supportive,Skill,0.79
402c05327ee5ec831f2a4b00eee1e815,innovation,Skill,0.92
402c05327ee5ec831f2a4b00eee1e815,developers,PersonType,0.96
402c05327ee5ec831f2a4b00eee1e815,product vision,Skill,0.91
402c05327ee5ec831f2a4b00eee1e815,technical architecture,Skill,0.94
402c05327ee5ec831f2a4b00eee1e815,management,Skill,0.82
402c05327ee5ec831f2a4b00eee1e815,starbucks,Organization,0.87
402c05327ee5ec831f2a4b00eee1e815,business,Skill,0.67
402c05327ee5ec831f2a4b00eee1e815,digital,Skill,0.52
402c05327ee5ec831f2a4b00eee1e815,digital payments,Skill,0.96
402c05327ee5ec831f2a4b00eee1e815,sale,Skill,0.63
402c05327ee5ec831f2a4b00eee1e815,financial,Skill,0.5
402c05327ee5ec831f2a4b00eee1e815,operational,Skill,0.55
402c05327ee5ec831f2a4b00eee1e815,product owners,PersonType,0.64
402c05327ee5ec831f2a4b00eee1e815,operators,PersonType,0.87
402c05327ee5ec831f2a4b00eee1e815,data scientists,PersonType,0.85
402c05327ee5ec831f2a4b00eee1e815,data,Skill,0.53
402c05327ee5ec831f2a4b00eee1e815,customers,PersonType,0.73
402c05327ee5ec831f2a4b00eee1e815,executive operator,PersonType,0.71
402c05327ee5ec831f2a4b00eee1e815,analytics,Skill,0.66
402c05327ee5ec831f2a4b00eee1e815,expert,PersonType,0.56
402c05327ee5ec831f2a4b00eee1e815,business,Skill,0.56
402c05327ee5ec831f2a4b00eee1e815,teammates,PersonType,0.41
402c05327ee5ec831f2a4b00eee1e815,software development,Skill,0.84
402c05327ee5ec831f2a4b00eee1e815,calibration,Skill,0.76
402c05327ee5ec831f2a4b00eee1e815,testing,Skill,0.75
402c05327ee5ec831f2a4b00eee1e815,documentation,Skill,0.72
402c05327ee5ec831f2a4b00eee1e815,user training,Skill,0.56
402c05327ee5ec831f2a4b00eee1e815,user,PersonType,0.46
402c05327ee5ec831f2a4b00eee1e815,support,Skill,0.55
402c05327ee5ec831f2a4b00eee1e815,self-service analytics,Skill,0.68
402c05327ee5ec831f2a4b00eee1e815,teammates,PersonType,0.7
402c05327ee5ec831f2a4b00eee1e815,reporting,Skill,0.85
402c05327ee5ec831f2a4b00eee1e815,assess,Skill,0.68
402c05327ee5ec831f2a4b00eee1e815,develop prototypes,Skill,0.69
402c05327ee5ec831f2a4b00eee1e815,troubleshooting,Skill,0.8
402c05327ee5ec831f2a4b00eee1e815,problem-solving,Skill,0.77
402c05327ee5ec831f2a4b00eee1e815,support,Skill,0.52
402c05327ee5ec831f2a4b00eee1e815,technologies,Skill,0.82
402c05327ee5ec831f2a4b00eee1e815,change management,Skill,0.6
402c05327ee5ec831f2a4b00eee1e815,data architecture,Skill,0.62
402c05327ee5ec831f2a4b00eee1e815,education,Skill,0.57
402c05327ee5ec831f2a4b00eee1e815,degree,Quantity,0.8
402c05327ee5ec831f2a4b00eee1e815,computer engineering,Skill,0.96
402c05327ee5ec831f2a4b00eee1e815,electronics,Skill,0.96
402c05327ee5ec831f2a4b00eee1e815,business administration,Skill,0.93
402c05327ee5ec831f2a4b00eee1e815,communication,Skill,0.99
402c05327ee5ec831f2a4b00eee1e815,statistical analysis,Skill,0.79
402c05327ee5ec831f2a4b00eee1e815,data mining,Skill,0.87
402c05327ee5ec831f2a4b00eee1e815,degree,Quantity,0.8
402c05327ee5ec831f2a4b00eee1e815,technical skill,Skill,0.8
402c05327ee5ec831f2a4b00eee1e815,writing,Skill,0.93
402c05327ee5ec831f2a4b00eee1e815,business intelligence,Skill,0.68
402c05327ee5ec831f2a4b00eee1e815,microsoft,Organization,0.57
402c05327ee5ec831f2a4b00eee1e815,data visualization,Skill,0.61
402c05327ee5ec831f2a4b00eee1e815,relational dimensional data modeling,Skill,0.71
402c05327ee5ec831f2a4b00eee1e815,data warehouse,Skill,0.64
402c05327ee5ec831f2a4b00eee1e815,decision support,Skill,0.67
402c05327ee5ec831f2a4b00eee1e815,troubleshooting problem solving,Skill,0.69
402c05327ee5ec831f2a4b00eee1e815,payment data,Skill,0.76
402c05327ee5ec831f2a4b00eee1e815,payment operations,Skill,0.82
402c05327ee5ec831f2a4b00eee1e815,analytics,Skill,0.58
402c05327ee5ec831f2a4b00eee1e815,delivering,Skill,0.62
402c05327ee5ec831f2a4b00eee1e815,work ethic,Skill,0.78
402c05327ee5ec831f2a4b00eee1e815,financial database structure design,Skill,0.84
402c05327ee5ec831f2a4b00eee1e815,interpersonal,Skill,0.86
402c05327ee5ec831f2a4b00eee1e815,networking,Skill,0.98
402c05327ee5ec831f2a4b00eee1e815,collaborating,Skill,0.88
402c05327ee5ec831f2a4b00eee1e815,innovate,Skill,0.82
402c05327ee5ec831f2a4b00eee1e815,starbucks,Organization,0.73
402c05327ee5ec831f2a4b00eee1e815,employer,PersonType,0.89
402c05327ee5ec831f2a4b00eee1e815,partners,PersonType,0.87
402c05327ee5ec831f2a4b00eee1e815,customers,PersonType,0.97
402c05327ee5ec831f2a4b00eee1e815,veterans,PersonType,0.89
402c05327ee5ec831f2a4b00eee1e815,applicants,PersonType,0.73
402c05327ee5ec831f2a4b00eee1e815,starbucks corporation,Organization,0.83
402c05327ee5ec831f2a4b00eee1e815,applicants,PersonType,0.67
402c05327ee5ec831f2a4b00eee1e815,206-318-0660,PhoneNumber,0.8
402c05327ee5ec831f2a4b00eee1e815,applicantaccommodation@starbucks.com,Email,0.8
95a369bd6eaa4a65dc22e2e6329157f1,new york,Location,0.94
95a369bd6eaa4a65dc22e2e6329157f1,boston,Location,0.95
95a369bd6eaa4a65dc22e2e6329157f1,tokyo,Location,0.92
95a369bd6eaa4a65dc22e2e6329157f1,tvision,Organization,0.82
95a369bd6eaa4a65dc22e2e6329157f1,performance metrics,Skill,0.73
95a369bd6eaa4a65dc22e2e6329157f1,marketing,Skill,0.88
95a369bd6eaa4a65dc22e2e6329157f1,technology,Skill,0.94
95a369bd6eaa4a65dc22e2e6329157f1,tv,Product,0.58
95a369bd6eaa4a65dc22e2e6329157f1,technology,Skill,0.93
95a369bd6eaa4a65dc22e2e6329157f1,critical insight,Skill,0.93
95a369bd6eaa4a65dc22e2e6329157f1,innovation,Skill,0.56
95a369bd6eaa4a65dc22e2e6329157f1,new york,Location,0.45
95a369bd6eaa4a65dc22e2e6329157f1,age,Quantity,0.8
95a369bd6eaa4a65dc22e2e6329157f1,adweek,Organization,0.88
95a369bd6eaa4a65dc22e2e6329157f1,mediapost,Organization,0.95
95a369bd6eaa4a65dc22e2e6329157f1,forbes,Organization,0.96
95a369bd6eaa4a65dc22e2e6329157f1,data science,Skill,0.98
95a369bd6eaa4a65dc22e2e6329157f1,business,Skill,0.58
95a369bd6eaa4a65dc22e2e6329157f1,clients,PersonType,0.74
95a369bd6eaa4a65dc22e2e6329157f1,development,Skill,0.53
95a369bd6eaa4a65dc22e2e6329157f1,analytics,Skill,0.53
95a369bd6eaa4a65dc22e2e6329157f1,impact,Skill,0.64
95a369bd6eaa4a65dc22e2e6329157f1,methodologies,Skill,0.91
95a369bd6eaa4a65dc22e2e6329157f1,data,Skill,0.87
95a369bd6eaa4a65dc22e2e6329157f1,consumers,PersonType,0.92
95a369bd6eaa4a65dc22e2e6329157f1,solve problems,Skill,0.6
95a369bd6eaa4a65dc22e2e6329157f1,create,Skill,0.5
95a369bd6eaa4a65dc22e2e6329157f1,innovation,Skill,0.77
95a369bd6eaa4a65dc22e2e6329157f1,incubation,Skill,0.95
95a369bd6eaa4a65dc22e2e6329157f1,data,Skill,0.74
95a369bd6eaa4a65dc22e2e6329157f1,models algorithms,Skill,0.63
95a369bd6eaa4a65dc22e2e6329157f1,computer vision data,Skill,0.58
95a369bd6eaa4a65dc22e2e6329157f1,engineering,Skill,0.65
95a369bd6eaa4a65dc22e2e6329157f1,-driven,Skill,0.6
95a369bd6eaa4a65dc22e2e6329157f1,deep,Skill,0.51
95a369bd6eaa4a65dc22e2e6329157f1,machine,Skill,0.59
95a369bd6eaa4a65dc22e2e6329157f1,sales,Skill,0.98
95a369bd6eaa4a65dc22e2e6329157f1,marketing,Skill,0.98
95a369bd6eaa4a65dc22e2e6329157f1,panel operations,Skill,0.68
95a369bd6eaa4a65dc22e2e6329157f1,engineering,Skill,0.9
95a369bd6eaa4a65dc22e2e6329157f1,data,Skill,0.63
95a369bd6eaa4a65dc22e2e6329157f1,industry standards,Skill,0.77
95a369bd6eaa4a65dc22e2e6329157f1,tvision data,Skill,0.9
95a369bd6eaa4a65dc22e2e6329157f1,methodologies,Skill,0.97
95a369bd6eaa4a65dc22e2e6329157f1,computer science,Skill,0.94
95a369bd6eaa4a65dc22e2e6329157f1,statistics,Skill,0.68
95a369bd6eaa4a65dc22e2e6329157f1,statistical modelling,Skill,0.95
95a369bd6eaa4a65dc22e2e6329157f1,machine learning,Skill,0.98
95a369bd6eaa4a65dc22e2e6329157f1,problem-solver analysis,Skill,0.97
95a369bd6eaa4a65dc22e2e6329157f1,technical business,Skill,0.55
95a369bd6eaa4a65dc22e2e6329157f1,hadoop,Organization,0.66
95a369bd6eaa4a65dc22e2e6329157f1,advertising,Skill,0.7
95a369bd6eaa4a65dc22e2e6329157f1,media,Skill,0.79
95a369bd6eaa4a65dc22e2e6329157f1,tvision prides,Organization,0.72
95a369bd6eaa4a65dc22e2e6329157f1,employees,PersonType,0.9
95a369bd6eaa4a65dc22e2e6329157f1,401(k),Quantity,0.8
95a369bd6eaa4a65dc22e2e6329157f1,monthly,DateTime,0.8
95a369bd6eaa4a65dc22e2e6329157f1,phone,Product,0.7
95a369bd6eaa4a65dc22e2e6329157f1,gym,Location,0.68
95a369bd6eaa4a65dc22e2e6329157f1,professional development,Skill,0.81
5fcca90a32176d42d53f3e6424295973,data scientist  affordable care,Organization,0.84
5fcca90a32176d42d53f3e6424295973,llc,Organization,0.47
5fcca90a32176d42d53f3e6424295973,aci,Organization,0.6
5fcca90a32176d42d53f3e6424295973,1975,DateTime,0.8
5fcca90a32176d42d53f3e6424295973,today,DateTime,0.8
5fcca90a32176d42d53f3e6424295973,america,Location,0.84
5fcca90a32176d42d53f3e6424295973,320,Quantity,0.8
5fcca90a32176d42d53f3e6424295973,40,Quantity,0.8
5fcca90a32176d42d53f3e6424295973,morrisville,Location,0.89
5fcca90a32176d42d53f3e6424295973,north carolina,Organization,0.4
5fcca90a32176d42d53f3e6424295973,dentures,Product,0.56
5fcca90a32176d42d53f3e6424295973,dentures,Product,0.53
5fcca90a32176d42d53f3e6424295973,implants,Product,0.64
5fcca90a32176d42d53f3e6424295973,dentures,Product,0.9
5fcca90a32176d42d53f3e6424295973,dental implants,Product,0.9
5fcca90a32176d42d53f3e6424295973,business,Skill,0.61
5fcca90a32176d42d53f3e6424295973,dentists,PersonType,0.93
5fcca90a32176d42d53f3e6424295973,dental prostheses,Product,0.71
5fcca90a32176d42d53f3e6424295973,"400,000",Quantity,0.8
5fcca90a32176d42d53f3e6424295973,patients,PersonType,0.95
5fcca90a32176d42d53f3e6424295973,annually,DateTime,0.8
