,posting_date,description,title,country,employer,industry,id,source,lat,lng,location
40,"Oct 7, 2019","conduct algorithmic r&d over speech and vision data..experiment with various ml platforms suitable for video analytics.work intensively with different types of data arriving from multiple sources and channels.interact with customers to formalize requests and requirements into algorithmic constraints.work closely with the product & engineering teams in designing and implementing solutions.msc/phd/equivalent in cs/ee/physics or a related field.at least 7 years experience in machine learning and/or data mining theory and algorithms.extensive experience with algorithm development for various types of data.extensive experience with algorithmic coding as well as with real data testing.extensive programming experience in languages such as python/c#/c++/java.ability to lead collaborative technical projects from conception to successful implementation.outstanding communication skills, comfortable in front of customers and a team player.independent, capable of making decisions in an ambiguous environment.",Senior Data Scientist ASME IL Data Science Group,Israel,Microsoft,Computer Hardware & Software,4163539797.0,Glassdoor,32.1658,34.8367,"Herzliya, Tel Aviv"
48,"Oct 31, 2019","a graduate degree (e.g. masters or phd) in a quantitative discipline (systems biology, data science, engineering & modeling, applied mathematics, physics or similar)..previous extensive relevant work experience, including full time industry experience or post-doctoral research..a deep understanding of oncology or drug discovery, and the molecular drivers of human diseases..extensive experience working with pre-clinical or clinical biological data e.g. genomics..experienced project manager:

.proven ability to mentor and motivate teams, directly and indirectly..comfort supervising work in cross-disciplinary and global project environments..an ability to influence leadership and direct scientific and technical strategy..expert analyzing data in network or graph representations, including use of state-of-the-art statistical and machine learning techniques, particularly in one of:

.systems biology, bayesian networks, quantitative modeling or causal reasoning.machine/deep learning integrating knowledge with biological/health data.representational learning of graphs/networks (e.g. gcns).transfer learning, machine attention, active learning, reinforcement learning.skilled in effective communication of complex data and methods to a non-expert..programming proficiency esp. python and r, networked and cloud-based systems, fair data practices, and graph data representations e.g. triple/quad stores..an excellent publication track record..well networked across relevant data science and scientific communities..working.you will take a position on the computational oncology and cross-functional knowledge graph .youll coach and .guide identification and curation of data underpinning the graph..drive input of assertions to the graph through analysis of published and proprietary biological knowledge and data..interrogate disease knowledge graphs to reveal patterns and actionable insight. impacting research and clinical practices..you will direct and .steer design of machine attention, active learning and reinforcement learning to maximize benefit to and from az scientists/clinicians..<strong>youll educate</strong>.<strong>you will collaborate</strong>.maintain awareness of .youll grow our external reputation by .","Lead Research Data Scientist, Oncology R&D, Knowledge Graph team",United Kingdom,AstraZeneca,Biotech & Pharmaceuticals,4199598495.0,Glassdoor,52.2,0.1167,"Cambridge, England"
50,"Oct 31, 2019","
bachelor's degree in any quantitative-related field: statistics, machine learning, mathematics, computer science. .
at least 5 years of working experience in data science.
experience working with natural language processing and machine learning libraries..
experience with data mining tools (sas, python, spss, r)..
experienced with predictive modeling(linear and non-linear regression, logistic regression, and time series analysis models).
deep learning algorithm as well as experience working with unstructured data and experience cleaning and manipulating data..
communication skills are imperative regarding the conveyance of information and instructions down the line to junior data science personnel..
good skills in sql server reporting services, analysis services, domo, integration services, nosql, tableau, salesforce, or other data visualization tools..
career plan that will let you grow and plan for the future.
22+ days off per year starting from day one.
15 days of christmas bonus.
food coupons.
major medical insurance (for you and your family).
law benefits: imss, afore, infonavit.
trainings and certification plans.
daily perks (coffee, game room, snacks).
flexible schedule.
relocation support if needed.",Senior Data Scientist, Mexico,Tiempo Development,Enterprise Software & Network Solutions,4199023847.0,Glassdoor,25.6667,-100.3167,Monterrey
51,"Oct 31, 2019","<strong>understand our customers.</strong>.<strong>impact change.</strong>.4+ years of practical machine learning experience.deep understanding of machine learning techniques and algorithms, such as k-nn, naive bayes, svm, decision forests, etc..experience with deep learning techniques, mainly cnns and rnns (gans and rl experience is a plus).experience with spatial data and/or gis.experience in at least one of these toolkits: r, weka, scikitl-learn, matlab.familiarity with machine learning frameworks/libraries/packages/apis (e.g., theano, spark mllib, h2o, tensorflow, pytorch, etc.).proven experience in etl, data processing, transformation, cleaning, and data warehousing techniques.experience with applied statistics skills, such as distributions, statistical testing, and regression.experience with widely used probability methods (conditional probability, bayes rule, likelihood, independence, etc.).experience with time series analysis.experience with data visualization techniques and tools (e.g., ggplot2).strong software engineering background (oop, data structures, algorithms, computability, and complexity).excellent conversation and communication skills.bachelors in a relevant quantitative field, such as statistics, operations research, or computer science, depending on position level (master's or phd preferred).proven understanding of multivariable calculus and linear algebra.experience dealing with massive data sets, using big data tools (hadoop hdfs, mapreduce, accumulo, presto, mongodb, cassandra, hbase, r, mahout, pig, and hive, dc/os).hands-on experience and expertise with cloud computing services (aws, azure, etc.).",Senior Data Scientist, United States,Esri,Computer Hardware & Software,4209704387.0,Glassdoor,34.0556,-117.1817,"Redlands, CA"
52,"Oct 31, 2019","numpy, scipy, pandas, scikit-learn, xgboost, libsvm, dask, bokeh, graphviz, etc..tensorflows, pytorch, keras, etc..sql & nosql, pyspark, elasticsearch, etc..",Stage - 6 mois - Data Scientist Translation H/F - Paris, France,BPCE,Banks & Credit Unions,4197200540.0,Glassdoor,0.0,0.0,Ile-de-France
72,"Oct 31, 2019","report into the data science dept.explore and extract insights from massive dataset of geospatial, behavioural, economic, and the interaction of millions of passengers and drivers and millions of rides per day from more than 65 cities across the region.build, validate, test, and deploy machine learning or other data science models to predict and influence the behaviour of supply and demand with the goal of optimising system efficiency of the platform.develop creative algorithms by employing machine learning and other data science techniques.contribute to teams innovation and ip creation.collaborate with other data scientists, software engineers, and business operation teams.ph.d. graduate, or masters degree graduate with at least 3 years of experience, in computer science, economics, electrical/computer engineering, operations research, or mathematics/statistics.understanding of machine learning, deep learning, data mining, algorithmic foundations of optimization.experience with machine learning framework (scikit-learn, spark mllib etc).proficient in one or more of the following programming languages: python, r, scala..experience with one or more big data processing frameworks such as spark.experience or knowledge in economics will be advantageous.self-motivated, independent learner, and willing to share knowledge with team members.detail-oriented and efficient time manager in a dynamic working environment.",Senior Data Scientist (Marketplace/Machine Learning),Singapore,Grab,Internet,4198136920.0,Glassdoor,1.2931,103.8558,Singapore
74,"Oct 31, 2019","at least 5 years of experience in either a professional data science position or a quantitative academic field.strong programming skills as evidenced by earlier work in data science or software engineering. although your programming language of choice (e.g. r, matlab or c) is not important, we do require the ability to become a fluent python programmer in a short timeframe.an excellent command of the basic libraries for data science (e.g. numpy, pandas, scikit-learn) and familiarity with a deep-learning framework (e.g. tensorflow, pytorch, caffe).a high level of mathematical competence and proficiency in statistics.a solid grasp of essentially all of the standard data science techniques, for example, supervised/unsupervised machine learning, model cross validation, bayesian inference, time-series analysis, simple nlp, effective sql database querying, or using/writing simple apis for models. we regard the ability to develop new algorithms when an innovative solution is needed as a fundamental skill.a leadership mindset focussed on growing the technical capabilities of the team; a caring attitude towards the personal and professional development of other data scientists; enthusiasm for nurturing a collaborative and dynamic culture.an appreciation for the scientific method as applied to the commercial world; a talent for converting business problems into a mathematical framework; resourcefulness in overcoming difficulties through creativity and commitment; a rigorous mindset in evaluating the performance and impact of models upon deployment.some commercial experience, particularly if this involved client-facing work or project management; eagerness to work alongside our clients; business awareness and an ability to gauge the commercial value of projects; outstanding written and verbal communication skills; persuasiveness when presenting to a large or important audience.experience in composing a project plan, in assessing its technical feasibility, and in estimating the time to delivery.prior research experience (phd or postdoc) as evidenced by academic publications and conference talks.some knowledge of:

.probabilistic programming languages such as stan, pymc3, edward or greta.distributed-computing frameworks such as spark and dask.utilities for the creation of web apps such as flask, dash and react.js.contributions to open-source projects.experience leading a team of data scientists (to deliver innovative work according to a strict timeline).work alongside exceptional and lovely people.be part of the team helping to deliver the benefits of ai across society.sharpen your technical skills on challenging projects, and through generous learning time.engage in motivating work, and gain experience on a variety of industry verticals.have ownership of your role, and enjoy the impact you create.work in an environment that is extremely supportive for anyone whos keen to develop and improve.enjoy a competitive salary.have equity in a rapidly growing, funded start-up.have ownership of your time with unlimited holiday and support for flexible working.",Senior Data Scientist,United Kingdom,Faculty,Internet,4196737935.0,Glassdoor,51.5,-0.1167,"London, England"
82,"Oct 31, 2019","numpy, scipy, pandas, scikit-learn, xgboost, libsvm, dask, bokeh, graphviz, etc..tensorflows, pytorch, keras, etc..sql & nosql, pyspark, elasticsearch, etc..",Stage - 6 mois - Data Scientist Translation H/F - Paris,France,Natixis,Investment Banking & Asset Management,4197171195.0,Glassdoor,48.8667,2.3333,Paris
87,"Oct 31, 2019","lead the companys data science activities. have complete ownership on data models, data mapping, classifications and various data re-structuring activities.build methodology and tools to support high volume data analysis..source and cross-analyze data from several sources to provide market and business insights..support strategic decisions making process by deep data analysis.perform research on the database to verify the accuracy of the data..study and map the online display eco-system to enhance systems data..take part in various marketing and product activities to expose and promote the value offering for clients and prospects.perform through and comprehensive market research by sourcing and harvesting market data from various public sources.build reports and dashboards to communicate insights to development and business.3 or more years experience in similar positions.experience in working with predictive and probabilistic models, clustering algorithms and other classification models.innovative and proactive thinking.coding experience in python.proficiency in tableau or similar tools.proficiency in excel - mandatory.experience with sql and database applications - mandatory.high attention to details..strong research and analytical skills..interpersonal and communication skills..self-learning abilities.",Senior Data Scientist,Israel,Gotfriends,,4196635954.0,Glassdoor,32.0678,34.7647,Tel Aviv-Yafo
97,"Oct 31, 2019","<strong>lead efforts in researching, recommending and implementing a machine learning platform to automate pricing analyses for properties across multiple disperse geographic locations.</strong>.work closely with it resources to integrate technology solution into firstkey homes infrastructure..connect to and ingest historical property data from sql databases and other relevant data sources. .build learning algorithms to compare pricing trends across disperse geographic markets based. develop predictive rental pricing models and scoring systems. maintain algorithms and ensure that computed pricing rates remain competitive within markets..identify impact of seasonality across geographies and incorporate seasonality into models..develop and implement processes to maintain data integrity by continuously monitoring, cleaning and updating data sets. document and update processes in accordance to company standards..perform tenant retention studies to increase understanding of our tenant base (example: explain why some tenants renew and others vacate for use in driving renewal rate increases)..develop and present results, powerpoints or other reporting tools to business leaders. ensure algorithms and concepts are presented into easily understood concepts. provide insights for evidenced based recommendations. .assist with coaching and mentoring junior pricing analysts and coordinators to build their skillsets..this brief summary is not an all-inclusive description of job duties. other job duties and responsibilities may also be assigned by the incumbents manager at any time based upon company need..<strong>primarily working indoors, office environment.</strong>.may sit for several hours at a time..prolonged exposure to computer screens..repetitive use of hands to operate computers, printers, and copiers..masters degree in applied mathematics, statistics, computer science or equivalent experience and/or education.minimum 3 years with data science and machine learning experience.proficient with microsoft azure, amazon web services (aws) or similar machine learning platform.advanced knowledge of data science concepts (various modeling types, data manipulation methods).experience programming statistical models in python, r or similar statistics program.advanced knowledge of data ingestion methods and relational databases (sql databases, csvs, etc.).familiar with machine learning models such as decision trees, regression, classification and segmentation models..experience working in property management, real estate or similar industry.<strong>experience working in fast pace, high-growth company</strong>.mathematics  knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications..computers knowledge of computer software, including applications and programming..active learning  understanding the implications of new information for both current and future problem-solving and decision-making..critical thinking  using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems..complex problem solving  identifying complex problems and reviewing related information to develop and evaluate options and implement solutions..judgment and decision making  considering the relative costs and benefits of potential actions to choose the most appropriate one..mathematics  using mathematics to solve problems..programming  writing computer programs for various purposes..science  using scientific rules and methods to solve problems..systems analysis  determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes..systems evaluation  identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system..monitoring  monitoring/assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action..time management  managing one's own time and the time of others..speaking  talking to others to convey information effectively..writing  communicating effectively in writing as appropriate for the needs of the audience..integrity  job requires being honest and ethical..analytical thinking  job requires analyzing information and using logic to address work-related issues and problems..initiative  job requires a willingness to take on responsibilities and challenges..cooperation  job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude..attention to detail  job requires being careful about detail and thorough in completing work tasks..adaptability/flexibility  job requires being open to change (positive or negative) and to considerable variety in the workplace..",Lead Data Scientist,United States,"FirstKey Homes, LLC",Real Estate,4080437460.0,Glassdoor,33.7489,-84.3881,"Atlanta, GA"
98,"Oct 31, 2019"," strong programming skills in python, r, and sql. the ability to clearly convey complex concepts with plain language. demonstrated ability to produce high-quality, product-focused, scalable analysis. problem-solving with determination, perseverance, and grit. you are motivated by working on hard problems with smart people. ability to prioritize. experience running or working at data-centric startups is plus.",Senior Data Scientist,United States,Argus Information & Advisory Services,Consulting,4197181660.0,Glassdoor,41.0339,-73.7633,"White Plains, NY"
101,"Oct 31, 2019","database management and administration..building and maintaining bespoke iep code libraries and packages..building data science models to understand drivers of peace and conflict..undertaking research to generate evidence that influences policy..a degree in it, mathematics, computer science or software engineering or related qualification..three years experience in a data science related role in a commercial environment..an understanding of statistics..proficiency in sql and database management.proficiency in data science libraries in r, python or c++. proficiency in github..proficiency in both windows and ubuntu..experience with apis and etls..excellent verbal and written communication skills, be able to undertake assignments with minimal supervision and effectively work in teams..ability to produce clear descriptive analysis of empirical research..experience in building data dashboards in excel, tableau, online tools, etc..experience in cloud computing/data management (amazon rds, aws, etc)..additional studies/degrees in economics, mathematics, statistics, business or humanities would be highly advantageous..a creative thinker..a solution oriented approach to problem solving - happy to try things rather than listing reasons why something wont work..excellent attention to detail and fast learner..ability to meet multiple deadlines in a fast-paced work environment..ability to work well under pressure with discretion and judgment..deeply committed and interested in peace research..ability to work well with others..commercial: 3 years (preferred).bachelor degree (preferred).sydney nsw (required).the candidate can work permanently with no restriction on hours (required).",Research Fellow - Data Scientist,Australia,Institute for Economics & Peace,Grantmaking Foundations,4203181374.0,Glassdoor,-33.8676,151.2069,Sydney
103,"Oct 31, 2019","research and develop statistical learning and machine learning models for data analysis..understanding information needs and extracting data from a variety of sources in order to create analytics deliverables that meet those needs..leverage models to address key growth challenges, cross-channel spend allocation, response modeling, and marketing program attribution..collaborate with product management to understand business needs and devise possible solutions..ideas to generate key decision making kpis..implement new statistical or other mathematical methodologies as needed for specific models or analysis..optimize joint development efforts through appropriate database use and project design..bachelors degree in computer science, statistics, applied math or related field..4+ years practical experience with sas, etl, data processing, database programming and data analytics or related education (prefer 6+years)..excellent understanding of machine learning and artificial intelligence techniques and algorithms..experience with common data science tools like (but not limited to) r, weka, numpy, matlab, etc. (prefer).good knowledge of statistics..experience with programming languages such as java and python..skilled in reporting and data visualization software, with strong presentation skills..experience with sql (structured query language) programming..extensive background in data mining and statistical analysis.ability to understand various data structures and common methods in data transformation. excellent pattern recognition and predictive modeling skills.. nosql and bigdata experience preferred..",Senior Professional Data Scientist,United States,DXC,IT Services,4124549884.0,Glassdoor,29.9544,-90.075,"New Orleans, LA"
107,"Oct 31, 2019","je hebt een universitaire bsc, msc of phd in wiskunde, computer science of statistiek..solliciteer.",Senior Data Scientist / Advanced Data Analyst,Netherlands,Coolblue,Consumer Electronics & Appliances Stores,4170868047.0,Glassdoor,51.9167,4.5,Rotterdam
108,"Oct 31, 2019","minimum 3 years experience in a commercial data science role.great understanding of standard nlp models and experience implementing them in a practical business context..sound understanding of machine learning and other data science principles..good software engineering and coding skills in python and preferably a second language, like c++.scoping data science projects across the business and defining the workflow from end to end..good knowledge of and experience with numpy, pandas, scikit, nltk, spacy, scikit-learn, tensorflow.'.developing and testing machine learning models using the latest data mining, statistical and machine learning techniques..working closely with engineers team to productionize models..good interpersonal ability and are able to communicate your findings to the wider business including executives and stakeholders..youre an evangelist for data science, you love spending time writing blogs, contributing to projects and attending events in the data science community (we do too!).youre familiar with any other programming languages.you have pursuits outside of work that you believe would be useful in our mission (no wrong answers!).being part of a greenfield project, designing a new data science library and tool stack from scratch..developing novel techniques for customer analysis at large scale..investigating and implement cutting-edge machine learning techniques, in particular in nlp..working on real-world problems, with immediate client impact and feedback..we offer a 24-day holiday allowance with the option to rollover a total of three unused days to the next calendar year..amazing office in the middle of the city complete with a pool table and games room;.an external training or conference budget of 500;.all staff are auto enrolled into our company pension scheme provided by the peoples pension..we all come together for a free lunch every wednesday with a different cuisine each week;.fully stocked kitchen;.friday catch-ups - beers, soft drinks and wine provided as we chat through our successes and welcome newcomers;.choose your own device - mac or pc,.paid volunteering days, 1 day per quarter, with a registered charity of your choice;.game room with nintendo switch, big screen tv + mario kart;.yoga evenings once a week..",Senior Data Scientist,United Kingdom,Streetbees,Research & Development,4198714697.0,Glassdoor,51.5,-0.1167,"London, England"
112,"Oct 31, 2019","run sql queries to extract operational, clinical data and specifications from various information systems..able to independently assess and analyze data quality, understand business processes and how they impact data quality, prepare data including labelling of data for machine learning experiments..able to pilot and build pocs to demonstrate and test business value of machine learning models, understand model metrics, iteratively improve model performance working with tech leads and vendors..analyze, interpret, and summarize machine learning model results..operationalize and maintain the models..develop presentations and trainings for business users to increase understanding of ai, data science and automation within data management..responsible for managing day-to-day work of associate data scientist(s)..bachelors of science degree in information technology, computer science, statistics, or related business degree with equivalent experience. candidate should have a strong understanding of relational databases and clinical trial data to facilitate data wrangling, model operationalization, and exploration of data..at least .<strong><strong>three or more years</strong></strong>.must have .must have programming experience with .must have .must be a team player, with good listening abilities, self-motivated and demonstrated results..must have .understanding of models like classification, linear regression, random forest, support vector machines etc..",Manager- Data Scientist, Switzerland,Pfizer,Biotech & Pharmaceuticals,4197218387.0,Glassdoor,47.3667,7.3333,Delémont
117,"Oct 31, 2019","image processing - making sure the images in our ads are the best they can be.ranking algorithm - making sure the highest quality listings are the ones at the top of the page.nlp - understanding how the vocabulary used in our listings drives user engagement.customer journey optimisation - helping to develop frictionless product experiences.price prediction - helping buyers/renters and brokers/agents/developers market understand the dynamics of the property market.recommendation engines - getting the most relevant content/listings in front of our users.creating research-driven data stories to support marketing and pr activities.excitement about supporting growth across the markets in the middle east.ability to read and write clear and concise code (sql and python are essential).experience with high frequency, high volume and complex data (digital).entrepreneurial attitude with the ability to explain complex ideas to non-technical individuals - we are culturally akin to a startup, with few organisational boundaries - youll be wearing many hats and working cross-functionally.comfortable designing, testing and deploying statistical and machine learning models.creating and working with apis.experience with aws.creative thinking and ability to deal with ambiguity and change.strong data infrastructure understanding e.g. authoring pipelines via sql and python-based etl frameworks, understanding data quality principles.experience communicating results, storytelling.willingness to learn new skills and find creative solutions to novel problems.mentorship and collaboration skills.",Senior Data Scientist,United Arab Emirates,propertyfinder,Internet,4115391280.0,Glassdoor,25.2522,55.28,Dubai
120,"Oct 31, 2019","
 provide technical expertise on advanced and large-scale big data analytics.
 identify and assess advanced analytics use cases.
 contribute to development of advanced models and tools, statistical analysis, evaluation of large data sets and creation of optimization models.
 proactively propose innovative processes in order to enhance banks core activities.
 enrolled in the following majors: computer engineering (or equivalent), computer science, mathematics, physics.
 passion in modeling techniques within statistics and/or optimization, such as data mining, artificial intelligence and machine learning.
 experience in r and/or python or other programming languages.
 strong analytical skills.
 creative thinking and a good problem solving skills.
 ability to work in team with good communications skills.
 attitude to work by project with focus on deadlines.
 fluent english language skills (spoken/written).",UniCredit Services SCpA / UniCredit Services SCpA - Area Data & Analytics – Data Scientist,Italy,UniCredit,,4208322115.0,Glassdoor,45.4643,9.1895,Milan
122,"Oct 31, 2019","analysez ltat de lart : bert, elmo, openai gpt, question answering, approche deep learning vision, regex, calcul de distance, .",Stage - 6 mois - Data Scientist NLP & Exploitation de connaissances H/F - Paris, France,BPCE,Banks & Credit Unions,4197199325.0,Glassdoor,0.0,0.0,Ile-de-France
124,"Oct 31, 2019","get more impactful, relevant and timely insight out to colleagues and partners.increase the velocity and effectiveness of our vip activity and customer experience journeys.leverage advanced analytics to optimise our supply chain, customer spend, workload, colleague rotas, pricing, next best action and vet practice profitability.introduce further artificial intelligence to improve pet welfare and diagnosis.creating an analytics organisation and operating model.implementing a data and analytics infrastructure (cloud based).changing the organisation to an analytics mindset and culture..build algorithms and find patterns in the data that create value..consistently and pro-actively provide the business with analysis that leads to business and customer improvement..lead small delivery teams to reach successful outcomes.promote analytics excellence by identifying and assessing the applicability of new analytical tools for pets at home group.assist in defining a common standard for the creation of new data tools/products and ensure effective adoption of these tools by providing training to end users.provide thought leadership to ensure pets at home can apply timely, leading edge thinking and technology to realise competitive advantage through analytics..exceptional analytics experience: 5 years+ of proven ability to apply advanced analytics techniques and statistical modelling to create commercial value and positive outcomes. with particular attention to customer focused strategies and deep domain knowledge of data science and machine learning automation..in-depth experience in using programming languages (python, r, matlab, scala/spark, c derivatives, etc.) for statistical and machine learning analyses..exceptional academic and research achievement in mathematics, science or engineering based subject.proven experience to see and know what good looks like when it comes to people, methods, tools and practices within analytics..demonstrable experience of leading a team or coaching/mentoring individuals to raise individual performance levels.excellent emotional intelligence with exceptional communication and interpersonal skills..preferably some proven speaking, presentation and facilitation experience in internal and external environments..competitive salary and market leading benefits.36 days paid annual leave (including bank holidays).birthday leave - 1 day extra leave to celebrate your birthday!.the option to buy extra holidays.colleague discount- 20% discount for you (plus one family member). this can be used in pets at home stores, groom rooms, companion care veterinary services, and pet plan insurance!.treats benefits- an online range of offers and discounts which are available exclusively to pets at home colleagues.contributory private health care.charity leave- you are entitled to have one paid days leave each year to work for your favourite animal related charity..celebrating special celebrations? youll get 1 extra week off and a gift to celebrate your wedding or civil partnership, and a gift from us if you are expecting or adopting a baby!.free car parking.colleague of the month awards.cycle to work scheme.",Senior Data Scientist - [39 Hours], United Kingdom,Pets at Home,Pet & Pet Supplies Stores,4183658720.0,Glassdoor,52.9833,-1.9833,"Cheadle, West Midlands, England"
