,id,skill,type
106,4147274432.0,highly complex problems,
107,4147274432.0,high degree ingenuity creativity innovation knowledge,
108,4147274432.0,large data,
109,4147274432.0,strategies,
110,4147274432.0,results,
111,4147274432.0,business needs,
112,4147274432.0,strategic decisions knowledge,
113,4147274432.0,programming languages platforms,
114,4147274432.0,python java c,
115,4147274432.0,sql familiarity,
116,4147274432.0,computer,
117,4147274432.0,concepts,
0,4141919159.0,advanced analytics group aag team experts data science engineering marketing science operations,
1,4141919159.0,primary market research,
2,4141919159.0,analytics specialist works,
3,4141919159.0,bains consulting teams,
4,4141919159.0,high quality results clients candidate,
5,4141919159.0,advance aags bains analytic research capabilities,
6,4141919159.0,training consulting staff,
7,4141919159.0,person role,
8,4141919159.0,ability,
9,4141919159.0,analytics experts business leaders,
10,4141919159.0,outside bain,
11,4141919159.0,data,
12,4141919159.0,solutions,
13,4141919159.0,bain clients,
14,4141919159.0,variety sectors,
15,4141919159.0,business objectives data analytics solutions,
16,4141919159.0,appropriate data engineering analytics visualization applications,
17,4141919159.0,data science services,
18,4141919159.0,bain case teams clients,
19,4141919159.0,case teams,
20,4141919159.0,client demands,
21,4141919159.0,data science methods,
22,4141919159.0,practical value-added answers client case teams,
23,4141919159.0,solutions,
24,4141919159.0,critical insights,
25,4141919159.0,wide scale,
26,4141919159.0,different problems,
27,4141919159.0,customers,
28,4141919159.0,markets product design marketing optimization demand forecasting,
29,4141919159.0,brand valuation profit price analyses,
30,4141919159.0,fraud detection,
31,4141919159.0,prototype test machine,
32,4141919159.0,algorithms data,
33,4141919159.0,range data points,
34,4141919159.0,billions,
35,4141919159.0,machine,
36,4141919159.0,statistical techniques,
37,4141919159.0,regression models,
38,4141919159.0,decision trees,
39,4141919159.0,random forests gradient,
40,4141919159.0,support vector machines,
41,4141919159.0,topic models,
42,4141919159.0,various sources data,
43,4141919159.0,data,
44,4141919159.0,methods,
45,4141919159.0,python r sql leveraging,
46,4141919159.0,infrastructure,
47,4141919159.0,cloud computing solutions,
48,4141919159.0,relational database enviromentskeep,
49,4141919159.0,new current statistical methodologies machine,
50,4141919159.0,data,
51,4141919159.0,techniques,
52,4141919159.0,appropriate train team members,
53,4141919159.0,use data analytics tools,
54,4141919159.0,use machine,
55,4141919159.0,baincombine domain expertise,
56,4141919159.0,feature engineering5 years,
57,4141919159.0,data science statistical analysis business marketing science social science environmenta masters degree phd computer science artificial intelligence,
58,4141919159.0,mathematics econometrics statistics,
59,4141919159.0,physics,
60,4141919159.0,field desiredstrong foundation mathematicsproficiency sql requiredproficiency data,
61,4141919159.0,visualization,
62,4141919159.0,either r python requiredproficiency vba javascript andor alteryx plusexamples domain expertise,
63,4141919159.0,predictive modeling,
64,4141919159.0,churn analysis time series,
65,4141919159.0,computer vision text mining recommender systems,
66,4141919159.0,market basket analysis segmentation graph analytics,
67,4141919159.0,natural language processing text analyticsexperience dashboard,
68,4141919159.0,tools tableau qlikexperience git modern software development workflow plusstrong interpersonal communication skills,
69,4141919159.0,pre-requisite roleability,
70,4141919159.0,mathematical machine,
71,4141919159.0,technicalities business audience,
0,4182008825.0,story data,
1,4182008825.0,latest ai technology,
2,4182008825.0,impact bottom line organisations,
3,4182008825.0,different clients,
4,4182008825.0,excitement,
5,4182008825.0,new environments,
0,4121953071.0,predictive models,
1,4121953071.0,customer issues,
2,4121953071.0,customers,
3,4121953071.0,contact,
4,4121953071.0,data,
5,4121953071.0,data quality assurancecollaborating engineers,
6,4121953071.0,ml prototypes production systemscollaborating product managers stakeholders,
7,4121953071.0,new areas,
8,4121953071.0,potential impactexcellent educational background minimum msc computer science mathematics statistics,
9,4121953071.0,similar quantitative fieldat least 3 years,
10,4121953071.0,industry experience,
11,4121953071.0,python ml-related libraries pandas,
12,4121953071.0,tensorflow keras xgboost,
13,4121953071.0,big data frameworks,
14,4121953071.0,daskstrong understanding,
15,4121953071.0,machine,
16,4121953071.0,methods techniques,
17,4121953071.0,customer behavior analysis predictionexperience,
18,4121953071.0,data pipelines,
19,4121953071.0,data,
20,4121953071.0,multiple sources formats,
21,4121953071.0,data science,
22,4121953071.0,services,
23,4121953071.0,apiworking,
24,4121953071.0,large data sets,
25,4121953071.0,customer data order data customer care datacommunity,
26,4121953071.0,nearly 100 data scientists,
27,4121953071.0,zalando collaborate,
28,4121953071.0,agile development team,
29,4121953071.0,strong dedicated ownership projectsculture trust empowerment constructive feedback open source commitment meetups,
30,4121953071.0,game nights,
31,4121953071.0,70 internal technical fun guilds knowledge sharing,
32,4121953071.0,tech talks,
33,4121953071.0,internal tech academy blogs,
34,4121953071.0,product demos parties,
35,4121953071.0,eventscompetitive salary employee share shop,
36,4121953071.0,40 zalando shopping discount discounts,
37,4121953071.0,external partners,
38,4121953071.0,offices,
39,4121953071.0,public transport discounts,
40,4121953071.0,municipality services,
41,4121953071.0,great equipment,
42,4121953071.0,flexible working times,
43,4121953071.0,additional holidays,
44,4121953071.0,time free beverages fruits,
45,4121953071.0,diverse sports health,
46,4121953071.0,personal development opportunities,
47,4121953071.0,international team expertsrelocation assistance internationals pme family service parent child rooms,
0,4209136866.0,2 years,
1,4209136866.0,large data,
2,4209136866.0,enterprise web cloud applications,
3,4209136866.0,2 years,
4,4209136866.0,data modeling,
5,4209136866.0,data design persistence eg warehousing data marts data lakes,
6,4209136866.0,big data approaches technologies,
7,4209136866.0,hadoop spark hive airflow nifi experience aws docker extra credit data,
8,4209136866.0,years,
