,posting_date,description,title,employer,industry,id,source,country
15,"Sep 20, 2019","establish clear team and individual kpis/targets.coach and train the team to ensure they have the required knowledge,skills and tools to meet kpis/targets.monitor performance to deliver agreed levels of output.source, develop and maintain the it infrastructure, systems and tools appropriate to meet the team and business needs, particularly related to process management and reporting.build expertise in how product suppliers engage with temple & webster and work with our technology team to develop product management tools for suppliers.identify, scope, plan and drive projects, big and small, to optimise product upload and maintenance processes.work across the business, particularly with the category management and technology teams, to ensure new initiatives are implemented and meet customer and business needs.develop and manage an ongoing supplier outreach and quality control processes to ensure product information is accurate and complete.work closely with the merchandising team to build expertise on how our customers shop and use this knowledge to continuously improve product merchandising standards across all categories.liaise with compliance officer to ensure products comply with regulations.build and maintain merchandising reports and dashboards.develop “how to” documentation for the team, internal stakeholders and suppliers.manage relationships and cooperate with other departments to ensure smooth and positive customer experience.meet or exceed kpis (e.g. product page conversion rates, speed and qc defect % of product listings).2+ years relevant experience leading teams and managing projects, including process improvement initiatives.experience and willingness to lead and coach a diverse (offshore) team.passion for operations, process improvement, and technology.analytical background.high technical proficiency with software.problem-solving and troubleshooting skills.proven experience and wiliness to work across functions to execute process improvement projects and get things done.strong communication and organisational skills.advanced microsoft excel skills.knowledge and experience with sql preferred.experience with product information management.interest and experience in ecommerce and retail.how numbers tell an important story - in our case, our customer’s journey throughout our site.competitive salary.paid leave on your birthday.free breakfast daily.free mindfulness practice daily.regular celebrations and team socials.opportunities to volunteer with our charity partner.complimentary access to travel club.no work eligibility is required, i am willing to sponsor the right candidate (e.g. visa) (preferred).",eCommerce Product Listings Data Manager,Temple & Webster,,51063,Glassdoor,AU
16,"Sep 20, 2019",python (preferito).,TMS – data preparation Engineer,AKKA Technologies,Research & Development,16658,Glassdoor,
17,"Sep 19, 2019","performing fundamental research work on applying deep learning to different types of data (categorical, temporal, etc.)..constructing data pipelines and applying data processing, cleansing and integrating..developing, testing and evaluating deep learning algorithms to tackle the underlying problem..assisting in model deployment and optimizing for performance..developing documentation for developed models..assisting in development of materials and analysis for project proposals and proof of concepts..proposing solutions and strategies to business challenges through deep learning..bachelor's degree in data science, computer science, math, statistics, engineering or a related program of study..2+ years hands-on experience using python (including numpy, pandas and scipy)..strong grasp of computer science fundamentals, algorithms, data structures, and design patterns..background in statistical modelling, data mining and deep learning..experience with tensorflow and keras or other deep learning frameworks..previous experience with designing, training, debugging and evaluating machine learning algorithms is a strong asset..experience with cloud services, docker or serverless technologies..experience using jupyter notebooks..previous experience in applying cnns and/or rnns (including lstm) to temporal data..previous experience with computer vision and/or unstructured data..previous experience in applying evolutionary/genetic algorithms..previous experience with dimensionality reduction techniques for data visualization..",Junior Data Scientist,Giatec,Electrical & Electronic Manufacturing,30157,Glassdoor,Canada
18,"Sep 18, 2019","experience with at least one of the ml related technologies (azure ml, mllib, h20, scikit-learn, various r packages).hands on experience with either r or python for both data prep and modeling.demonstrated leadership in ds overall workflow and methodology supporting the need to move systems into production and support..demonstrated leadership in mentoring and training other data scientists ..demonstrated client facing experience..working knowledge of emerging domains such as deep learning including frameworks such as cntk, tensorflow, keras, gluon, mxnet etc… and distributed analytics on edge in iot context..familiarity with aws or the microsoft azure platforms is a plus.familiar with map reduce framework, and parallel/distributed processing such as hadoop/spark/dryad/scope.analytical tools, languages, or libraries: sas, spss, apache mahout.knowledge of other languages like java, f#, c#, c++is a plus.",Delivery Data Scientist,Microsoft,Computer Hardware & Software,127407,Glassdoor,India
19,"Sep 17, 2019","analyze seo data and perform vital data analysis on legalmatch’s websites.monitor seo and cro tests, track data, analyze, and measure the impact on organic search traffic. you should be able to clearly present them on spreadsheets and other forms of reporting..provide seo analysis, consistently present recommendations to further improve seo metrics of our websites, and propose strategies for content development.keep pace with seo, industry trends, and developments.identify potential issues before they arise and be able to communicate them to the team.communicate with project drivers and product owners regarding the seo analysis made..",Online Marketing Data Analyst,LegalMatch Philippines Inc,,97850,Glassdoor,PH
20,"Sep 16, 2019","seek to understand what matters most for the business and prioritize vigilantly.identify key metrics and build executive-facing dashboards to track sales, the effectiveness of various campaigns and programs, and the efficiency of our sales teams.provide in-depth analysis on current operational metrics such as monthly recurring revenue, annual contract value, drop-off, churn, and others.perform deep-dive analysis on business problems and sales opportunities.extract actionable insights through analyzing large, complex, multi-dimensional customer behavior datasets.translate complex concepts into implications for the business.analyze large quantities of sales and business data to distill information into insightful analysis and presentations for senior management.champion improvements to streamline team processes and achieve efficiencies.be a problem solver and a proven self-starter with the drive to succeed and understand “why”..have excellent analytical and problem solving skills.be meticulous and detail oriented but knows how to see the big picture.be passionate about data analysis and exploration.have strong interpersonal and leadership skills.have excellent communication and presentation skills.",SENIOR DATA ANALYST,LegalMatch Philippines Inc,,146302,Glassdoor,PH
21,"Sep 16, 2019","a brilliant data analyst who can see patterns in complexity.an excellent communicator at all levels within the organisation with experience in a fast paced matrix environment.someone who can understand and make sense of macro and micro information.an experienced user of microsoft products such as word, powerpoint.a realistic optimist with a knack in managing multiple stakeholders.a seasoned collaborator with experience of working in a high octane environment.ability to understand financial aspects of a business and client specific projects.not scared to voice an opinion and able to put ideas across purposefully.exceptional eye for detail and razor sharp accuracy.proactive and deadline driven.works all the time they are at work but also has the energy to play hard too!.experience in consumer electronics industrywould be advantageous.power bi not a necessity but advantageous.able to read and write in other languages a plus.",Senior Data Analyst,Talent Tree Solutions,,101225,Glassdoor,PH
22,"Sep 13, 2019","a master's or phd degree in engineering, computer science or related field 12 months of graduation or graduated within the last 12 months..proficiency using one or more programming or scripting language to work with data such as: python, c++, perl, or c#..experience and or project course work performing data analysis and applying statistics working with tools such as: r, matlab, ampl, or sas..experience or course work applying ml to a type of data, including the application of ml algorithms on large scale data sets, and understanding of various ml algorithms and evaluations techniques..experience with ml platforms such as tensorflow, pytorch, etc’..passion to learn from your peers, manager, and other stakeholders in the data science domain..ability to interact with peers and stakeholders to drive product and business impact..strong interpersonal and communications skills..",Full Time Opportunities for Students and Recent Graduates: Data Science/Researcher,Microsoft,Computer Hardware & Software,96343,Glassdoor,Israel
23,"Sep 10, 2019","design, develop, and test significant web application features for big data analytics and governance to drive customer growth and engagement in the azure data teams..iterate with program managers and ux designers on the best ux, take part in planning to map out features and estimate costs, refine implementation based on business and operational telemetry, and troubleshoot production issues..collaborate across teams to tackle tasks by bringing together all the pieces to provide customers with intuitive, effortless experiences..learn and share the latest trends in web application and cloud service development..2+ years of web application as well as cloud service development in typescript/javascript, react/redux/angular, html5, css3, rest, json, c#, and asp.net mvc..4+ years of enterprise software design, development, and testing that meet functional, performance, and fundamentals requirements..critical thinking, communication, and cross-team collaboration skills..passion for providing high-quality customer and community support..bachelor’s degree in computer science or equivalence..a result-oriented lateral thinker with growth mindset and ability to socialize and drive his/her ideas into the technology..",Software Engineer II_Azure Data UX,Microsoft,Computer Hardware & Software,30548,Glassdoor,China
24,"Sep 10, 2019","you engage with customers and consultants to get a deep understanding of our business needs and opportunities to create value from data and transfer knowhow into systems.you explain, educate, and tell stories about data driven working and thinking in the company. you are an ambassador and role model for this way of working.you pro-actively perform data exploration to come up with new insights and proposals to improve our products.you continuously tweak and adjust our predictive models to provide the best performance possible.you work with a multidisciplinary product team that innovates the predictive capabilities and data driven systems.you will build up & coach a small team of data scientists and analysts..5+ years of experience in data science.master degree or equivalent relevant work experience in a mathematical or analytical field.experience with working in a data driven product environment.excels at explaining complex data concepts to the whole company and taking people on a path of more analytical and data thinking.able to communicate ideas and strategies (including push back) up till the executive level.creative and flexible in coming up with solutions when the data itself is imperfect.excellent communication skills in english..experience in an online marketing environment.experience with our tech and tool stack: python, scala, sagemaker, databricks..flexible working hours.unlimited (paid!) holidays.time and budget for training.relocation support and more!.",Lead Data Scientist,VONQ,Advertising & Marketing,78005,Glassdoor,Netherlands
25,"Sep 10, 2019","as a member of the organization you will be dedicated to improving the reliability of our end-to-end data infrastructure. your work will integrate directly with twitter's products..our core infrastructure receives hundreds of millions of tweets per day and serves tens of billions of api requests. we also serve over 2+ billion search queries per day, render millions of ad impressions, and process hundreds of terabytes of log and interaction data daily..we dive deep into gnarly operational issues; from the software, systems, automation, and process perspectives. we will understand the challenges around integrating disparate infrastructures into a new facility, processes and procedures..we work with open-source technologies and get involved with sre and hadoop community..we actively participate in the vision to move away from high operational cost tasks such as break/fix, cluster migrations, new service buildouts, abuse, etc. you will contribute to services that can shrink and expand based on demand, self heal, automatically rollout, etc..we will train and invest in our team members to make sure that they are successful in supporting large variety of system and products that twitter use..you will use your expertise to improve the reliability and performance of hadoop clusters and data management services..you will participate in and build tools to diagnose, and fix complex distributed systems handling 10s of petabytes of data and drive opportunities to improve automation for the company, scope and create automation for deployment, management and transparency of our services..you will tackle issues across the entire stack - hardware, software, application and network..you will test, monitor, administer, and operate multiple clusters across data centers, primarily in python and java..you will take part in 24x7 on-call / support rotation..minimum 3+ years of handling services in a large scale distributed systems environment, preferably hadoop..familiarity with systems management tools (puppet, chef, capistrano, etc).knowledge of linux operating system internals, filesystems, disk/storage technologies and storage protocols and networking stack..proven knowledge of systems programming (bash and shell tools) and/or at least one scripting language (python, ruby, perl, scala)..track record of practical problem solving, excellent communication, and documentation skills.proven understanding of systems and application design, including the operational trade-offs of various designs..work well with and be able to influence a myriad of personalities at all levels..be adaptable and able to focus on the simplest, most efficient & reliable solutions..experience with hdfs, yarn and related hadoop technologies..ability to lead technical teams through design and implementation across an organization..b.s. in computer science or similar field..",Senior Site Reliability Engineer - Data Infrastructure / Hadoop,Twitter,Internet,58547,Glassdoor,
26,"Sep 10, 2019","identify new data-source in the network that will build new insights to business needs..develop etl jobs for large volume of data that is fast and reliable in a big data platform..develop big data analytic solution to analyze and link multiple data-source in the big data platform..craft new visualization software that demonstrate machine learning and predictive analytic to bring new insights and solution to the business..design, develop, code, test, improve and debug etl packages, stored procedures, and data flows..participate in design, development, and deployment of data warehouse data models..collaborate with business partners and other it teams to ensure high quality data solutions are delivered..solve operational critical issues and resolve business partner issues in a timely manner with strong collaboration and care for business priorities..document existing and new work performed..development skills with java, python, scala, or other languages.experience with relational databases (teradata, ms sql, oracle, mysql).proficiency with development tools (git/svn, artifactory, maven, jenkins).strong communication skills (written, verbal and presentation).ability to analyze problems, identify and implement solutions.ability for minimal, international travel.",Big Data Engineer,Micron,Health Care Products Manufacturing,6312,Glassdoor,TW
27,"Oct 9, 2019","requirements definition for data quality (dq) controls, thresholds, kpis and dashboards for business-critical partner and internal data utilized across sxm's systems..monitoring of the dq controls, thresholds, kpis and dashboards..data investigation and analysis for dq, it and business data requests, and related communication with a cross-functional group of sxm stakeholders as needed..researches and identifies root cause for data issues (rca), and works with the relevant sxm teams and sxm external partner leads regarding rca details and sample data to drive resolution..summarizes and explains complex analyses as needed for technical, project and business reviews..project-related data validation and dq requirements definition..development, testing/qa and validation of recurring remediations and data cleanups to resolve data issues, support delayed projects and support ad-hoc business requests..conducts data quality audits and initiates corrective actions to ensure data quality..are subject matter experts in one or more sxm data areas (e.g. tier 1 and oem data, marketing data, satellite radio signaling data)..ba/bs degree. technical degree preferred..at least 5 years of overall work experience, including demonstrated understanding of the software development life cycle..at least 5 years of experience in a subscription services or manufacturing environment..at least 5 years of demonstrated cross-functional coordination with internal and external it and business stakeholders for complex data and/or integration processes..highly analytical mindset; must have the ability to understand business and it processes and convert them to data quality and control requirements. must be able to interpret data issues and complex analyses to business owners in a clear and concise fashion..interpersonal skills and ability to interact and work with staff at all levels..excellent written and verbal communication skills..ability to work independently and in a team environment..ability to pay attention to details and be organized..ability to project professionalism over the phone and in person..ability to handle multiple tasks in a fast-paced environment..commitment to ""internal client"" and customer service principles..willingness to take initiative and to follow through on projects..excellent time management skills, with the ability to prioritize and multi-task, and work under shifting deadlines in a fast-paced environment..must have legal right to work in the u.s..thorough knowledge of ms-office suite (word, excel, powerpoint, access)..highly experienced with database systems and analytical tools..experience with high volume, high-availability applications..strong sql skills (e.g. teradata sql, oracle) are required..data quality software (e.g. talend), data visualization software (e.g. tableau, qlikview) and mdm system skills are a plus..","Senior Analyst, Data Quality",Sirius XM,Radio,161376,Glassdoor,United States
28,"Oct 9, 2019","write user manuals, data analysis to build out an automated data reporting suite that will drive decision making.compile, identify trends, and evaluate data to support the e-commerce team in decision-making.perform white box and black box testing of our e-commerce platform.regular data extraction from internal db (sql), data analytics.perform product specific analytics and customer analytics in e-commerce space.should come out with workflows in e-commerce supply chain management.develop data-driven attribution methodologies; providing cross channel insight into the effectiveness of our data driven marketing campaigns.proactively monitor web and user data to identify customer pain points, providing regular reporting and identifying ways of improving user experience.support the e-commerce team with any ad-hoc reporting requests.total work: 2 years (preferred).chennai, tamil nadu (required).software development.",E-commerce Technical Writer and Data Analyst,Akra Tech,,113832,Glassdoor,IN
29,"Oct 9, 2019","2 + years with risk management (market, liquidity, esg).2 + years with sql programming.2 + years in financial services / risk data management.2 + years with ssis.knowledge of vba, excel.analytical and problem solving.work in victoria bc.",Market Risk Data Analyst,Randstad Canada,Staffing & Outsourcing,24358,Glassdoor,CA
30,"Oct 9, 2019","intellectual prowess (highly analytical & strategic).strong relationship management/interpersonal skills.complex problem-solving, innovative and creative thinking.excellent communication and presentation skills.versatile and able to work under pressure to deliver multiple projects to a high quality.high attention to detail.good to have but not essential - experienced in data visualisation -power bi.good to have but not essential - experienced with sales force crm.experienced in performing analytics, segmentation, data mining and campaign management using sql, sas, spss, google 360 or similar packages.previous experience operating large-scale crm systems or programs, plus knowledge of technology stacks, scv opportunities and partners.experience in a data analytics.experience in crm and insights with a proven track record of driving actionable insight.experienced in crm technology management, with an understanding of marketing and operational databases, segmentation, campaign management and statistical modelling.experienced in successfully managing agencies and consultant partnerships.experience in omni-channel strategy- development and implementation.plan and oversee delivery of the email marketing and crm strategy to drive online traffic and revenue targets and relevant kpis.responsibility for all newsletter and product-led email marketing.responsibility for database growth and lead development of email production processes and system integrations..plan email calendar in collaboration with online, nam and marketing stakeholders.provide data insights and analytical reports for too faced..assist too faced marketing, nam and online to provide relevant insights.tackle the challenge of extracting business intelligence from large data sets. ability to see beyond the numbers. 1st party data, 2nd party and 3rd party..proactively suggest ways to visualise complex data sets, generating charts/tables that give insightful views of key business issues and opportunities.liaises with too faced brand team to educate on the scheduling of published reports ensuring clear communication and how they can be used to identify key insights and trends - experienced in automation.strong participant and contributor to the creation, sharing and learning culture to provide inspiration and relevant information to too faced.partnering with our data agency and collaborating with the corporate media director to create scalable statistical and analytical models.",CRM & Data Analyst - Fixed Term Contract,Estée Lauder Companies,Consumer Products Manufacturing,94824,Glassdoor,United Kingdom
31,"Oct 9, 2019","ervaring met analytische scripting talen (python en r);.analytisch en communicatief sterk, kritisch, teamspeler, gestructureerd en proactief;.",Lead Data Engineering,BIJENKORF,"Department, Clothing, & Shoe Stores",73820,Glassdoor,NL
32,"Oct 9, 2019","read and analyse print and online newspapers and beauty magazines.read and analyse blogs and social media posts..analyse the articles according to our core methodology.research new products and brands that appear in the press for the first time.input all analysis into our proprietary data platform ensuring accuracy and quality of data.must be able to speak/read italian.ability to learn quickly.computer literacy (basic word and excel skills).working within a team environment.working to deadlines.an interest in the beauty industry.up to £16,000 - 17,500 dependents on experience per annum based on experience.hmrc approved employee share option scheme.25 days annual leave plus bank holiday.",Italian Data Entry Analyst,Source4 Personnel Solutions,,110082,Glassdoor,United Kingdom
33,"Oct 9, 2019","read and analyse print and online newspapers and beauty magazines.read and analyse blogs and social media posts..analyse the articles according to our core methodology.research new products and brands that appear in the press for the first time.input all analysis into our proprietary data platform ensuring accuracy and quality of data.must be able to speak/read italian.ability to learn quickly.computer literacy (basic word and excel skills).working within a team environment.working to deadlines.an interest in the beauty industry.up to £16,000 - 17,500 dependents on experience per annum based on experience.hmrc approved employee share option scheme.25 days annual leave plus bank holidays.",German Data Entry Analyst,Source4 Personnel Solutions,,69663,Glassdoor,United Kingdom
34,"Oct 9, 2019","read and analyse print and online newspapers and beauty magazines.read and analyse blogs and social media posts..analyse the articles according to our core methodology.research new products and brands that appear in the press for the first time.input all analysis into our proprietary data platform ensuring accuracy and quality of data.must be able to speak/read italian.ability to learn quickly.computer literacy (basic word and excel skills).working within a team environment.working to deadlines.an interest in the beauty industry.up to £16,000 - 17,500 dependents on experience per annum based on experience.hmrc approved employee share option scheme.25 days annual leave plus bank holidays.",Spanish Data Entry Analyst,Source4 Personnel Solutions,,93651,Glassdoor,United Kingdom
35,"Oct 8, 2019","bachelor's/college degree in mathematics, statistics, economics or equivalent.must have good working experience as statistician /data analyst/ mathematician.knowledgeable in evaluating probabilities and statistics, statistical modeling and graphic analysis, charts and tables.can interpret data, analyze results using statistical techniques, provide ongoing reports and data sets.",Statistician/ Data Scientist,Glimex Inc.,,57684,Glassdoor,PH
36,"Oct 7, 2019","preferably master or phd in scientific field;.analytics background;.strong visualization skills - tableau;.excellence in python;.geospatial experience - gis, arcgis, qgis;.desirable - experience with azure..",Senior Data Scientist,Stott and May,Staffing & Outsourcing,123367,Glassdoor,United Kingdom
37,"Oct 7, 2019","provide data and reporting support as requested by external business partners in support of existing service agreements.understand the usage and relevance of company data sources and policy and claims admin systems in relation to financial r and ensure availability of data for all relevant data sources and lines of business..review and evaluate internal processes for effectiveness and efficiency and recommend alternative approaches and solution.enhance the consistency, quality and timeliness of reporting..bachelor’s degree or equivalent combination of education and work experience.minimum 2 years' relevant experience using microsoft sql server.proficient in sql programming, and sql server integration services to manage data loads and queries.experience integrating various data sources using open data source connectivity(odbc) and linked servers, etc..excellent verbal and written communication skills.ability to work with little supervision and self-review to produce quality outcome..working knowledge of microsoft office, including excel functions, pivot tables and macros, plus ms access query design.ability to meet firm deadlines in a fast paced environment; manage one’s own time.adapt and be flexible in a complex changing environment.use statistical techniques and a methodological approach to solve data issues.familiarity with insurance premium and claims is a plus.familiarity with python, luigi or airflow data pipeline framework is a plus.experience with government regulator filings is a plus..sql server: 3 years (preferred).",SQL Data Analyst/Analista de Datos SQL,Integon Co SA de CV,,111202,Glassdoor,MX
