,skill,id
3064,powerbi,10
3032,pipelines,10
4472,visualizations,10
191,analytical methods,10
1185,data pipeline,10
2100,industrial,10
427,big data analytics,10
3141,prioritize,10
198,analytical models,10
1936,graph analysis,9
2380,linux,9
4288,time management,9
216,analytical thinking,9
3340,publications,9
3424,random forest,9
3460,reasoning,9
674,classification,9
90,agile development,9
757,code review,9
3908,spss,9
4282,thought leadership,9
236,analyze data,9
35,accuracy,9
1179,data modelling,9
4066,supply chain optimization,9
479,biostatistics,9
3933,statistical analyses,9
3253,professional accomplishment,9
1026,customer acquisition,9
300,artificial neural networks,9
3171,procedures,9
749,coach,9
4362,troubleshooting,9
1334,database systems,9
4075,support vector machines,9
597,caffe,9
4060,supply,9
3086,predictive,9
1931,gradient boosting,9
3448,real-time,9
1148,data infrastructure,9
4265,text analytics,9
4131,teach,9
2916,oral,9
2741,naive bayes,9
3139,prioritization,9
2392,logic,8
2399,logistics,8
769,cognitive,8
1274,data warehouse,8
733,cloud platforms,8
4133,team,8
1812,fintech,8
3240,production systems,8
2206,internal,8
2432,machine-learning,8
2175,insurance,8
1023,curation,8
2282,k-nn,8
579,business value,8
4383,unstructured data,8
73,advertising,8
3614,saas,8
961,coordinating,8
1157,data integrity,8
681,cleaning,8
882,concepts,8
3002,personalization,8
1089,data accuracy,8
273,applied research,8
1478,digital,8
1045,customer insights,8
257,application,8
2222,interpret data,8
3737,self-driven,8
1398,delivering,8
2044,identify,8
127,algorithm development,8
3011,pharmaceutical,8
241,analyzing data,8
2264,jira,8
3966,statistical packages,8
2374,linear regression,8
1548,dl,8
3575,review,8
3402,query languages,8
1112,data cleansing,8
2841,onboarding,8
2160,insight,8
4528,wrangling,8
2522,mathematical models,8
2530,maths,8
3078,prediction,8
2885,operationalize,8
31,accountability,8
2369,linear algebra,8
2819,object-oriented design,8
4202,technical skills,8
3927,stata,7
2939,organizing,7
737,cloud technologies,7
1244,data sourcing,7
1753,exploratory analysis,7
2779,neural network,7
126,algorithm design,7
4263,text,7
1853,functions,7
719,clinical trials,7
1860,gaming,7
1017,cs,7
1257,data systems,7
1842,fraud detection,7
2326,large-scale,7
3250,products,7
960,coordinate,7
4005,storytelling,7
2029,hypothesis testing,7
941,continuous integration,7
4485,web,7
2760,network,7
2933,organizational skills,7
3339,publication,7
2393,logical,7
1955,graphs,7
812,communication skills,7
1714,evaluate,7
2368,linear,7
758,code reviews,7
1928,gpu programming,7
760,code versioning,7
3768,sentiment analysis,7
533,business development,7
1698,epidemiology,7
1922,golang,7
3801,signal processing,7
4083,surveys,7
4311,toolkits,7
3423,random,7
2250,iterate,7
3486,regression analysis,7
4387,usage,7
532,business decisions,7
247,anomaly detection,7
461,biology,7
210,analytical solutions,7
3311,properties,7
1090,data acquisition,7
3564,retail,7
1241,data solutions,7
2121,informatics,7
2611,mining,7
2117,influencing,7
572,business solutions,6
2281,k-means,6
573,business strategies,6
629,causal inference,6
1193,data preparation,6
3482,registries,6
1240,data simulation,6
521,business analysis,6
619,carlo,6
4182,technical leadership,6
1230,data science research,6
4142,technical abilities,6
3180,process improvement,6
1838,framework,6
558,business performance,6
3447,real world data,6
2263,jenkins,6
2136,information systems,6
3826,social,6
2103,industrial engineering,6
3400,query,6
901,constraint programming,6
1442,design thinking,6
900,constrained optimization,6
2088,improvement,6
3569,retention,6
3730,selection,6
2096,independent,6
4118,tactical,6
841,computational linguistics,6
2641,model building,6
2621,ml models,6
2115,inferential statistics,6
2616,ml algorithms,6
3552,resources,6
1691,entrepreneurship,6
2125,information engineering,6
1370,decision tree learning,6
3589,risk management,6
2057,image recognition,6
3703,scrum,6
3697,scraping,6
2861,open-source,6
1006,crm,6
2854,open data,6
4531,writing code,6
3636,scalability,6
4523,workflows,6
989,credibility,6
44,activation,6
3630,sap data extraction,6
3367,quality,6
3942,statistical data analysis,6
3365,qualitative,6
958,cooperation,6
1975,hardware,6
3989,stats,6
938,continuous,6
1972,hadoop,6
3031,pipeline,6
4426,vba,6
3464,recommendation systems,6
734,cloud services,6
782,collaborations,6
1272,data visualizations,6
4279,thinking,6
4320,trading,6
1910,git,6
1758,extract,6
3111,present,6
4287,time,6
1906,german language,6
2178,integer programming,6
4385,unstructured data processing,6
2480,market access,6
4293,time series forecasting,6
2467,manipulate data,6
3511,relationships,6
4084,survival analysis,6
2210,international,6
4290,time series,6
2137,information technology,6
3895,speaking,6
1337,databricks,6
297,artificial,6
837,computational biology,6
3142,prioritizing,6
1260,data technologies,6
816,communicator,6
2559,medical,6
962,coordination,5
3950,statistical interpretation,5
1981,health,5
4117,tactfully,5
3975,statistical software,5
2013,human factor impact,5
2223,interpretability,5
3951,statistical knowledge,5
991,credit risk,5
3369,quality assurance,5
1865,gcp,5
3953,statistical learning,5
642,challenge,5
3381,quantitative data science,5
1139,data flows,5
3946,statistical distributions,5
1979,hci,5
2192,intelligence,5
3302,proof of concepts,5
1030,customer behavior,5
3352,python programming,5
2254,iterative development,5
4049,study design,5
3901,speech recognition,5
2120,informatica,5
3864,solutions,5
814,communicative,5
1104,data assets,5
1082,dashboard creation,5
2112,inference,5
2097,independently,5
798,commercial,5
2155,innovations,5
1065,customer success,5
2087,improve,5
2081,implementations,5
3860,solution development,5
902,constraint satisfaction,5
2277,jupyter,5
3443,real estate,5
3335,public health,5
1966,gurobi,5
2179,integrate,5
1041,customer engagement,5
2041,ideate,5
744,cluster analysis,5
930,containers,5
3949,statistical inference,5
1437,design patterns,5
4490,web applications,5
4301,time-series,5
423,big,5
3108,preparation,5
2618,ml frameworks,5
2472,manufacturing,5
3809,simulations,5
3735,self-direction,5
3005,persuade,5
3135,principles,5
4262,tests,5
2423,machine learning software,5
1793,financial institutions,5
493,boosting,5
1796,financial markets,5
2981,performance evaluation,5
2699,mongodb,5
1247,data storage,5
2970,pattern recognition,5
1447,designs,5
2711,motivated,5
2961,particle swarm optimization,5
146,alteryx,5
2944,outcomes research,5
3701,scripting language,5
2938,organized,5
4302,time-series analysis,5
274,applied statistical,5
1369,decision tree,5
2511,math models,5
2544,measurement,5
3069,practices,5
2524,mathematical programming,5
354,automating,5
3065,powerpoint,5
4343,transportation,5
3059,postgresql,5
1735,experiment design,5
1715,evaluating,5
3049,policy-shaping,5
318,association rules,5
370,availability,5
4391,user behavior,5
1322,database management,5
1360,decision forests,5
3763,senior,5
393,bayesian methods,5
4381,unix,5
1365,decision quality,5
4318,tracking,5
1366,decision science,5
4317,torch,5
4389,user,5
4314,topic modeling,5
1469,develops,5
1723,evidence,5
4493,web development,5
94,agile methodologies,5
1197,data processes,5
4215,technically inclined,5
621,cassandra,5
2357,life science,5
4524,working,5
1570,draw conclusions,5
2803,numerate,5
4205,technical specifications,5
1841,fraud,5
3654,scalable systems,5
58,ad-hoc analysis,5
1832,forest,5
87,agile business,5
571,business requirements,5
3173,process,5
95,agile methodology,5
1194,data presentation,5
1552,docker,5
4204,technical solutions,5
3686,scikit,5
1233,data science technologies,5
74,advise,5
2307,kpis,5
4494,web industry,5
2925,organization,5
2853,open,5
2347,legal,5
263,applied,4
2813,object detection,4
3371,quality control,4
3970,statistical programming languages,4
1377,deep,4
2006,hive,4
3969,statistical programming language,4
2610,mine,4
2126,information extraction,4
2608,mindset,4
986,creatively,4
1934,graph,4
1018,css,4
4378,unit tests,4
4521,workflow,4
4172,technical expertise,4
1345,dataset,4
1538,distributed processing,4
2850,ontology,4
2552,media,4
21,a/b testing,4
3958,statistical methodologies,4
819,companys,4
4529,write,4
3417,r&d,4
2898,optimise,4
26,access,4
3653,scalable solutions,4
3900,speech processing,4
3047,policies,4
3038,platform,4
833,computation,4
304,assess,4
835,computational,4
1087,data access,4
248,anomaly detection systems,4
1382,deep learning algorithms,4
2728,multitask,4
2680,modeling techniques,4
4020,strategic thinking,4
1724,evidence generation,4
3710,search engines,4
951,conversion,4
2971,patterns,4
2710,motivate,4
1978,hbase,4
1964,guide,4
4463,visualisation tools,4
3393,quantitative research,4
258,application development,4
4473,visualize,4
1046,customer intelligence,4
3391,quantitative models,4
1043,customer experiences,4
3688,scikit-learn,4
931,content,4
2753,natural sciences,4
121,airflow,4
3602,root cause analysis,4
3693,scoring,4
955,convolutional neural networks,4
188,analytical insights,4
1430,descriptive statistics,4
1948,graph theory,4
1587,dutch,4
3561,results,4
2913,optimizing,4
3413,quicksight,4
3389,quantitative modeling,4
4412,validating,4
861,computer sciences,4
4039,structured,4
3734,self-directed,4
1077,"d3,",4
3733,self-development,4
2915,oracle,4
1072,cyber security,4
3731,self,4
3001,personal development,4
3362,qlik,4
84,aggregation,4
4436,verify,4
3915,stack,4
4437,verifying,4
2782,neuroscience,4
3295,project work,4
3152,probabilities,4
594,c/,4
2231,intuition,4
3260,professional services,4
2373,linear programming,4
4274,theories,4
536,business experience,4
4280,thought,4
3878,source data,4
662,churn prediction,4
2468,manipulating,4
2251,iterating,4
3514,reliability,4
1176,data model,4
2276,julia,4
3808,simulation models,4
2473,map,4
709,clinical development,4
2188,intellectual curiosity,4
656,chinese,4
2475,mapping,4
2228,interrogate,4
4152,technical capabilities,4
3228,production data,4
1887,genomics,4
3501,relational,4
3831,social network analysis,4
2256,iteratively,4
4212,technical writing,4
3170,problems,4
3875,source code,4
1228,data science libraries,4
1824,forecast,4
2259,japanese,4
1250,data strategy,4
3440,real,4
513,building models,4
1220,data requirements,4
2348,lending,4
1144,data gathering,4
4151,technical blogs,4
1146,data governance,4
1238,data set,4
4240,tensorflows,4
604,calculus,4
638,centric,4
1320,database design,4
4227,telecommunication,4
1915,global,4
3089,predictive analysis,4
790,collection,4
3463,recommendation engines,4
4338,translate,4
1736,experimental,4
1153,data insights,4
2498,marketing science,4
3164,problem solver,4
1732,experience,4
1335,database technologies,4
701,client service,4
4352,trees,4
700,client relationships,4
1731,exogenous data,4
4171,technical experience,4
4097,system design,4
3787,sets,4
3467,recruiting,4
3198,product decisions,4
4324,trainings,4
644,change management,4
541,business impact,4
4226,telecom,4
651,chatbots,4
1308,data-oriented,4
3097,predictive maintenance,4
3803,significance testing,4
4180,technical knowledge,4
1756,explore,4
530,business decision making,4
2490,marketing automation,4
1226,data science engineering,3
3868,solving,3
3390,quantitative modelling,3
3869,solving problems,3
3690,scipy stack,3
1234,data sciences,3
3388,quantitative methods,3
1162,data lakes,3
1817,flexible,3
1471,devise,3
1925,government,3
1584,due diligence,3
1605,ecommerce,3
3660,scenario analysis,3
3649,scalable models,3
1533,distributed datasets,3
3461,recognition,3
1010,cross validation,3
1532,distributed databases,3
1529,distributed data,3
3465,recommender systems,3
1988,health insurance,3
1987,health economics,3
1015,cross-validation,3
3470,recurrent neural networks,3
1206,data profiling,3
3840,software design,3
1210,data protection,3
1827,forecasting models,3
3939,statistical computer languages,3
1581,drug discovery,3
3670,scientific computing,3
3450,real-time analytics,3
1983,health care,3
1875,generate insights,3
3940,statistical concepts,3
3616,safety,3
1592,dynamic pricing,3
1219,data reporting,3
1496,digital technologies,3
3678,scientific method,3
3679,scientific methods,3
3682,scientific research,3
1487,digital health,3
1616,educational,3
3396,quantitative social science,3
1883,genomic,3
3433,rdbms,3
1764,facilitation,3
1769,fccm,3
1088,data accessibility,3
1902,geospatial analysis,3
3554,response modeling,3
1901,geospatial,3
3750,semantic,3
3879,sources,3
3911,sql,3
1774,feature engineering,3
3738,self-education,3
1407,demand forecasting,3
3510,relationship management,3
1940,graph database,3
3410,question answering,3
1943,graph databases,3
1126,data discovery,3
1699,erp,3
1298,data-driven strategy,3
3521,report writing,3
1730,execution,3
3419,r.,3
1718,evangelize,3
3778,serverless architecture,3
1102,data architectures,3
1331,database skills,3
1919,go,3
1325,database programming,3
1712,etls,3
1742,experimentation design,3
1744,experimenting,3
3903,spoken,3
1311,data-science,3
3793,shell scripting,3
3428,rapidminer,3
1661,engineer,3
1414,demonstrations,3
3595,robotic process automation,3
1452,dev,3
1636,embeddings,3
1145,data generation,3
3494,regressions,3
3899,speech,3
1451,detection,3
1963,guidance,3
1147,data handling,3
3394,quantitative science,3
3409,querying databases,3
1456,develop processes,3
1627,electrical,3
3874,source,3
3593,rl,3
1150,data ingestion,3
3441,real data,3
1235,data security,3
3583,risk,3
3580,revision control,3
1992,health technology,3
1061,customer segmentations,3
1660,engine,3
1788,financial data,3
1069,customer view,3
1789,financial engineering,3
1791,financial industry,3
1266,data validation,3
1792,financial insights,3
3726,segmentations,3
1656,engagement,3
3571,revenue,3
3572,revenue generation,3
3503,relational database,3
3405,query performance,3
1798,financial modeling,3
1436,design experiments,3
3462,recommendation,3
1542,distribution,3
1003,critical insights,3
4453,vision,3
175,analytical capabilities,3
2302,knowledge sharing,3
2305,kotlin,3
626,causal,3
2308,kubernetes,3
617,career,3
3193,product analytics,3
2323,large,3
3190,procurement,3
2328,large-scale data science,3
2689,modelling.,3
599,"caffe2,",3
3183,process pipelines,3
593,c++.,3
4195,technical requirements,3
2984,performance metrics,3
186,analytical frameworks,3
584,businesss,3
4203,technical solution,3
190,analytical methodologies,3
574,business strategy,3
4208,technical strategy,3
2355,life,3
2356,life insurance,3
2671,model validation,3
4219,technologie-themen,3
2670,model training,3
552,business model,3
551,business metrics,3
2695,molecular biology,3
639,certification,3
2372,linear models,3
643,champion,3
2225,interpreting,3
2226,interpreting data,3
2935,organizational success,3
4126,targeting,3
2236,investigate,3
705,clinical,3
120,ai.,3
4132,teaching,3
695,client management,3
2748,natural language,3
4134,team building,3
3229,production deployment,3
4137,team work,3
4139,team-work,3
2742,named entity recognition,3
682,cleanse,3
679,clean,3
2740,mysql,3
4145,technical analysis,3
4153,technical challenges,3
4466,visualise,3
149,analyse data,3
2721,multi-,3
2720,multi,3
2714,motivation,3
2713,motivating,3
649,charts,3
645,channel,3
164,analysis.,3
547,business knowledge,3
4228,telecommunications,3
3249,productizing,3
262,applications development,3
267,applied data science,3
4310,tooling,3
3029,pilot,3
2488,marketing analytics,3
400,bayesian statistics,3
397,bayesian networks,3
394,bayesian model,3
392,bayesian inference,3
281,architecting,3
385,bash,3
289,architectures,3
380,bagging,3
4329,transactional data,3
4333,transform,3
309,asset management,3
2577,meet deadlines,3
4340,translation,3
2575,medicine,3
4342,transport,3
2519,mathematical methodologies,3
2521,mathematical modelling,3
3048,policy,3
3055,portuguese,3
4354,trial data,3
3077,predicting,3
4357,trials,3
338,automated anomaly detection,3
4360,troubleshoot,3
330,audit,3
264,applied analytics,3
417,bert,3
197,analytical modelling,3
430,big data implementations,3
3162,problem resolution,3
3158,problem,3
2385,listening,3
3157,probability theory,3
2995,periscope,3
4235,tensor flow,3
518,business administration,3
214,analytical technology,3
502,budget,3
4246,test design,3
222,analytics applications,3
2406,lstm,3
3007,persuasive design,3
3009,ph.d,3
2642,model creation,3
488,blogs,3
4417,value,3
238,analyzed,3
2425,machine learning.,3
3017,phd,3
471,biomedical informatics,3
3019,photography,3
2628,mobile,3
3021,physical,3
2465,mandarin,3
439,big data stacks,3
436,big data science,3
2620,ml libraries,3
4295,time series modeling,3
2756,negotiate,3
4161,technical design,3
2204,interface,3
2799,nosql,3
3308,propensity modeling,3
66,adtech,3
862,computer security,3
859,computer programming,3
2804,numerical,3
940,continuous improvement,3
4045,structured programming languages,3
2800,nosql databases,3
4048,structures,3
4526,working relationships,3
2123,information,3
2787,nifi,3
4053,success,3
4508,weka,3
829,complexity analysis,3
828,complex problems,3
2789,nltk,3
2026,hypothesis,3
4064,supply chain management,3
83,aggregating data,3
3293,project plans,3
3292,project planning,3
4511,windows,3
4037,structure,3
2108,industrialization,3
2042,ideation,3
2067,imaging data,3
3331,psychometric,3
908,consultancy,3
4008,strategic action,3
907,consult,3
4007,strategic acquisition,3
55,ad targeting,3
4016,strategic plans,3
56,ad-,3
3341,publishing,3
893,confidence intervals,3
3346,pyspark,3
2082,implemented,3
887,conceptualizing,3
60,adaptability,3
881,conception,3
3317,proposal development,3
2043,identification,3
877,computing platforms,3
61,adaptable,3
4514,word embeddings,3
2025,hypotheses validation,3
3984,statistics direct,3
774,cognitive solutions,3
3961,statistical model,3
4082,survey design,3
4543,yoga,3
752,code development,3
2778,neural nets,3
2168,inspecting,3
2187,intellectual,3
957,cooperating,3
2169,inspire,3
779,collaborates,3
985,creative thinking,3
2775,networks,3
808,communicates,3
2174,instrumentation,3
3972,statistical significance,3
2177,insurance claims,3
954,convolutional networks,3
2189,intellectual property,3
2151,innovating,3
796,command line,3
2198,interactive,3
4501,web-scale,3
3957,statistical machine learning,3
4486,web analytics,3
2000,heuristics,3
2181,integrating,3
3269,program,3
3538,research methodology,2
1686,entity linking,2
1674,enterprise,2
2864,operating,2
1688,entity resolution,2
1687,entity recognition,2
3633,scala.,2
1562,documenting,2
2548,measuring,2
3559,result,2
1677,enterprise data lakes,2
1547,django,2
2615,ml algorithm,2
3022,physical sciences,2
2863,opennlp,2
1682,enterprise solutions,2
2896,optimality,2
2619,ml languages,2
2824,observation data,2
2561,medical affairs,2
2594,methodology development,2
3542,researches,2
1689,entrepreneurial,2
2880,operational planning,2
2591,methodological,2
1702,error metrics,2
3034,pivot tables,2
2849,ontologies,2
2589,metadata,2
2602,microservices,2
1707,etl development,2
2845,online ecommerce,2
2604,microsoft office suite,2
2626,ml/dl,2
2842,oncology,2
2587,messaging,2
2605,microstrategy,2
2837,omni-channel optimisation,2
2606,military,2
3040,platform engineering,2
2877,operational efficiency,2
1694,environmental,2
1708,etl pipelines,2
1693,environment,2
2831,office,2
2876,operational decisions,2
1551,dmp,2
2829,occupational medicine,2
1549,dm,2
2872,operational analytics,2
2827,observational research,2
3027,pilates,2
1673,ensemble methods,2
1659,engaging,2
3562,results orientated,2
1564,domain,2
2781,neurips,2
3537,research methodologies,2
3605,routing,2
1631,electro-optical and infrared cameras,2
1634,elmo,2
1600,e-commerce.,2
2966,patient care,2
2921,organisational capability,2
1635,embedded platforms,2
3610,ruby,2
2976,peer review,2
3611,russian,2
1641,empirical research,2
2977,peer reviews,2
3579,reviewing,2
2956,parallel programming,2
2729,multithreading,2
2949,ownership mindset,2
2754,nave bayes,2
2762,network analytics,2
2764,network design,2
2766,network modeling,2
2768,network optimization,2
1609,economic,2
2928,organizational goals,2
2937,organize data,2
3603,root-cause analysis,2
1617,ee,2
2771,network strategy,2
2773,networked,2
2941,oriented,2
2774,networking,2
2734,multivariate testing,2
2918,orally,2
2983,performance measurement,2
2795,non-relational databases,2
2647,model design,2
2656,model metrics,2
1571,draw meaningful conclusions,2
2655,model management,2
2651,model explanation,2
2906,optimization techniques,2
3006,persuasive,2
2646,model deployment,2
1613,eda,2
3566,retail banking,2
2812,object,2
2639,model automation,2
1565,domain model,2
2817,object oriented programming,2
1668,english language proficiency,2
2657,model operationalization,2
2659,model output,2
2797,normalize,2
1585,duplicates,2
2684,modelling data,2
1650,energy,2
1591,dynamic geospatial graphs,2
1652,energy sciences,2
2987,performance reporting,2
3573,revenue management,2
2988,performance review,2
3622,sales departments,2
2989,performance reviews,2
1582,drug safety,2
2907,optimization tools,2
1580,drug development,2
3570,retraining strategies,2
2668,model selection,2
3071,pragmatism,2
2452,manage time,2
1720,event sourcing paradigm,2
2138,information theory,2
1892,geo-statistics,2
3436,re,2
1895,geography,2
2197,inter-personal,2
3265,profiling,2
3270,program design,2
1903,geospatial data,2
3272,programmatic advertising,2
3642,scalable big data,2
1911,github,2
3279,programming skills,2
1916,global mindset,2
1918,glue,2
3282,programs,2
2162,insight generation,2
1923,governance,2
2148,initiative,2
3291,project plan,2
1927,gpu,2
2146,ingesting,2
2143,infrastructure development,2
1891,geo data modelling,2
3248,productize,2
2224,interpretability methods,2
2266,job scheduling,2
2283,kafka,2
1863,gather insights,2
2280,k-,2
3455,real-time data processing,2
3220,product personalization,2
1867,general purpose programming,2
2271,json,2
2270,js,2
3451,real-time auctioning,2
1873,generate,2
3242,productionise,2
2261,java script,2
3227,production code,2
2253,iterative,2
3445,real time analytics,2
1880,genetic algorithms,2
3444,real time,2
3232,production master,2
2244,investments,2
3238,production software,2
3296,promotion,2
3299,promotional response,2
2293,knowledge engineering,2
2133,information sciences,2
2052,image data,2
2048,image,2
2045,identifying,2
2039,icml,2
2038,iclr,2
2033,ibm spss,2
3354,python stack,2
3356,"python,",2
2028,hypothesis generation,2
3387,quantitative methodologies,2
2024,hypotheses,2
1980,hdfs,2
2022,hyperparameter optimization,2
3363,qlikview,2
2015,human resources,2
3386,quantitative investment,2
2014,human factors,2
2010,html,2
2001,hierarchical modeling,2
3383,quantitative finance,2
3377,quantitative analytics,2
2062,imagery,2
1965,guiding,2
1959,growth mindset,2
3312,property,2
2132,information science,2
2128,information management,2
3304,proof-of-concepts,2
3306,proofs of concept,2
2114,inferences,2
3307,propensity,2
1937,graph analytics,2
1939,graph data representations,2
2109,industry,2
1944,graph inference,2
2072,impactful,2
2101,industrial data science,2
3316,proposal,2
1946,graph representations,2
2093,inclusive,2
2089,imputaion,2
3404,query optimization,2
3325,prototype development,2
2075,impacting,2
3401,query language,2
3459,realtime,2
2294,knowledge graph,2
2543,measure performance,2
3123,price modeling,2
2494,marketing mix modeling,2
3099,predictive model,2
3100,predictive model development,2
1760,extracting,2
2486,market research,2
1761,extracting data,2
1762,extracting insights,2
2482,market basket analysis,2
2481,market analysis,2
2479,market,2
1766,fair data practices,2
3106,predictive statistical models,2
3107,predictive value,2
1773,feature,2
3109,preprocess data sets,2
2469,manipulating data,2
1778,feedback,2
3509,relationship extraction,2
2464,managment,2
3118,presenting papers,2
3378,quantitative business analysis,2
1752,exploratory analyses,2
1748,exploration,2
2497,marketing optimization,2
2515,mathematical fluency,2
2542,measure,2
3072,pre-sales,2
3532,requirement analysis,2
3074,predict,2
2532,matplotlib,2
3082,prediction models,2
3085,predictions,2
