index,skill,count,keep
191,analytical methods,10,y
1185,data pipeline,10,y
2100,industrial,10,
427,big data analytics,10,y
3141,prioritize,10,y
198,analytical models,10,y
1936,graph analysis,9,y
2380,linux,9,y
4288,time management,9,y
216,analytical thinking,9,y
3340,publications,9,
3424,random forest,9,y
3460,reasoning,9,y
674,classification,9,y
90,agile development,9,y
757,code review,9,y
3908,spss,9,y
4282,thought leadership,9,y
236,analyze data,9,y
35,accuracy,9,y
1179,data modelling,9,y
4066,supply chain optimization,9,y
479,biostatistics,9,y
3933,statistical analyses,9,y
3253,professional accomplishment,9,y
1026,customer acquisition,9,y
300,artificial neural networks,9,y
3171,procedures,9,y
749,coach,9,y
4362,troubleshooting,9,y
1334,database systems,9,y
4075,support vector machines,9,y
597,caffe,9,y
4060,supply,9,
3086,predictive,9,
1931,gradient boosting,9,y
3448,real-time,9,
1148,data infrastructure,9,y
4265,text analytics,9,y
4131,teach,9,y
2916,oral,9,y
2741,naive bayes,9,y
3139,prioritization,9,y
2392,logic,8,
2399,logistics,8,y
769,cognitive,8,y
1274,data warehouse,8,y
733,cloud platforms,8,y
4133,team,8,y
1812,fintech,8,y
3240,production systems,8,
2206,internal,8,
2432,machine-learning,8,y
2175,insurance,8,y
1023,curation,8,y
2282,k-nn,8,y
579,business value,8,
4383,unstructured data,8,y
73,advertising,8,y
3614,saas,8,y
961,coordinating,8,y
1157,data integrity,8,y
681,cleaning,8,y
882,concepts,8,
3002,personalization,8,
1089,data accuracy,8,y
273,applied research,8,y
1478,digital,8,
1045,customer insights,8,y
257,application,8,
2222,interpret data,8,y
3737,self-driven,8,y
1398,delivering,8,
2044,identify,8,
127,algorithm development,8,y
3011,pharmaceutical,8,y
241,analyzing data,8,y
2264,jira,8,y
3966,statistical packages,8,y
2374,linear regression,8,y
1548,dl,8,
3575,review,8,
3402,query languages,8,y
1112,data cleansing,8,y
2841,onboarding,8,
2160,insight,8,y
4528,wrangling,8,y
2522,mathematical models,8,y
2530,maths,8,y
3078,prediction,8,
2885,operationalize,8,
31,accountability,8,y
2369,linear algebra,8,y
2819,object-oriented design,8,y
4202,technical skills,8,y
3927,stata,7,
2939,organizing,7,
737,cloud technologies,7,y
1244,data sourcing,7,
1753,exploratory analysis,7,y
2779,neural network,7,y
126,algorithm design,7,y
4263,text,7,
1853,functions,7,
719,clinical trials,7,
1860,gaming,7,
1017,cs,7,y
1257,data systems,7,y
1842,fraud detection,7,y
2326,large-scale,7,y
3250,products,7,
960,coordinate,7,y
4005,storytelling,7,y
2029,hypothesis testing,7,y
941,continuous integration,7,y
4485,web,7,
2760,network,7,y
2933,organizational skills,7,y
3339,publication,7,
2393,logical,7,y
1955,graphs,7,y
812,communication skills,7,y
1714,evaluate,7,
2368,linear,7,
758,code reviews,7,y
1928,gpu programming,7,y
760,code versioning,7,y
3768,sentiment analysis,7,y
533,business development,7,y
1698,epidemiology,7,y
1922,golang,7,y
3801,signal processing,7,y
4083,surveys,7,
4311,toolkits,7,y
3423,random,7,
2250,iterate,7,
3486,regression analysis,7,y
4387,usage,7,
532,business decisions,7,y
247,anomaly detection,7,y
461,biology,7,y
210,analytical solutions,7,y
3311,properties,7,
1090,data acquisition,7,y
3564,retail,7,y
1241,data solutions,7,y
2121,informatics,7,y
2611,mining,7,y
2117,influencing,7,
572,business solutions,6,y
2281,k-means,6,y
573,business strategies,6,y
629,causal inference,6,y
1193,data preparation,6,
3482,registries,6,
1240,data simulation,6,y
521,business analysis,6,y
619,carlo,6,y
4182,technical leadership,6,y
1230,data science research,6,y
4142,technical abilities,6,y
3180,process improvement,6,y
1838,framework,6,
558,business performance,6,
3447,real world data,6,y
2263,jenkins,6,y
2136,information systems,6,y
3826,social,6,y
2103,industrial engineering,6,y
3400,query,6,y
901,constraint programming,6,y
1442,design thinking,6,y
900,constrained optimization,6,y
2088,improvement,6,
3569,retention,6,
3730,selection,6,
2096,independent,6,y
4118,tactical,6,y
841,computational linguistics,6,y
2641,model building,6,y
2621,ml models,6,y
2115,inferential statistics,6,y
2616,ml algorithms,6,y
3552,resources,6,
1691,entrepreneurship,6,y
2125,information engineering,6,y
1370,decision tree learning,6,y
3589,risk management,6,y
2057,image recognition,6,y
3703,scrum,6,y
3697,scraping,6,y
2861,open-source,6,y
1006,crm,6,y
2854,open data,6,y
4531,writing code,6,y
3636,scalability,6,y
4523,workflows,6,
989,credibility,6,
44,activation,6,
3630,sap data extraction,6,y
3367,quality,6,
3942,statistical data analysis,6,y
3365,qualitative,6,y
958,cooperation,6,y
1975,hardware,6,y
3989,stats,6,y
938,continuous,6,
1972,hadoop,6,y
3031,pipeline,6,y
4426,vba,6,y
3464,recommendation systems,6,y
734,cloud services,6,y
782,collaborations,6,y
1272,data visualizations,6,y
4279,thinking,6,y
4320,trading,6,y
1910,git,6,y
1758,extract,6,
3111,present,6,
4287,time,6,
1906,german language,6,y
2178,integer programming,6,y
4385,unstructured data processing,6,y
2480,market access,6,
4293,time series forecasting,6,y
2467,manipulate data,6,y
3511,relationships,6,
4084,survival analysis,6,y
2210,international,6,
4290,time series,6,y
2137,information technology,6,y
3895,speaking,6,y
1337,databricks,6,y
297,artificial,6,
837,computational biology,6,y
3142,prioritizing,6,y
1260,data technologies,6,y
816,communicator,6,y
2559,medical,6,y
962,coordination,5,
3950,statistical interpretation,5,y
1981,health,5,y
4117,tactfully,5,y
3975,statistical software,5,y
2013,human factor impact,5,
2223,interpretability,5,y
3951,statistical knowledge,5,y
991,credit risk,5,y
3369,quality assurance,5,y
1865,gcp,5,y
3953,statistical learning,5,y
642,challenge,5,
3381,quantitative data science,5,y
1139,data flows,5,y
3946,statistical distributions,5,y
1979,hci,5,y
2192,intelligence,5,
3302,proof of concepts,5,
1030,customer behavior,5,y
3352,python programming,5,y
2254,iterative development,5,y
4049,study design,5,y
3901,speech recognition,5,y
2120,informatica,5,y
3864,solutions,5,
814,communicative,5,y
1104,data assets,5,
1082,dashboard creation,5,y
2112,inference,5,y
2097,independently,5,y
798,commercial,5,
2155,innovations,5,y
1065,customer success,5,y
2087,improve,5,
2081,implementations,5,
3860,solution development,5,y
902,constraint satisfaction,5,y
2277,jupyter,5,y
3443,real estate,5,y
3335,public health,5,y
1966,gurobi,5,y
2179,integrate,5,
1041,customer engagement,5,y
2041,ideate,5,y
744,cluster analysis,5,y
930,containers,5,y
3949,statistical inference,5,y
1437,design patterns,5,y
4490,web applications,5,y
4301,time-series,5,y
423,big,5,
3108,preparation,5,
2618,ml frameworks,5,y
2472,manufacturing,5,y
3809,simulations,5,
3735,self-direction,5,y
3005,persuade,5,y
3135,principles,5,
4262,tests,5,
2423,machine learning software,5,y
1793,financial institutions,5,y
493,boosting,5,
1796,financial markets,5,y
2981,performance evaluation,5,y
2699,mongodb,5,y
1247,data storage,5,
2970,pattern recognition,5,y
1447,designs,5,
2711,motivated,5,y
2961,particle swarm optimization,5,y
146,alteryx,5,y
2944,outcomes research,5,y
3701,scripting language,5,y
2938,organized,5,
4302,time-series analysis,5,y
274,applied statistical,5,y
1369,decision tree,5,y
2511,math models,5,y
2544,measurement,5,
3069,practices,5,
2524,mathematical programming,5,y
354,automating,5,
3065,powerpoint,5,y
4343,transportation,5,y
3059,postgresql,5,y
1735,experiment design,5,y
1715,evaluating,5,
3049,policy-shaping,5,y
318,association rules,5,y
370,availability,5,
4391,user behavior,5,y
1322,database management,5,y
1360,decision forests,5,y
3763,senior,5,
393,bayesian methods,5,y
4381,unix,5,y
1365,decision quality,5,
4318,tracking,5,
1366,decision science,5,y
4317,torch,5,y
4389,user,5,
4314,topic modeling,5,y
1469,develops,5,
1723,evidence,5,
4493,web development,5,y
94,agile methodologies,5,y
1197,data processes,5,
4215,technically inclined,5,y
621,cassandra,5,y
2357,life science,5,y
4524,working,5,
1570,draw conclusions,5,y
2803,numerate,5,
4205,technical specifications,5,y
1841,fraud,5,
3654,scalable systems,5,y
58,ad-hoc analysis,5,y
1832,forest,5,y
87,agile business,5,y
571,business requirements,5,y
3173,process,5,
95,agile methodology,5,y
1194,data presentation,5,y
1552,docker,5,y
4204,technical solutions,5,y
3686,scikit,5,y
1233,data science technologies,5,y
74,advise,5,
2307,kpis,5,
4494,web industry,5,y
2925,organization,5,
2853,open,5,y
2347,legal,5,
263,applied,4,
2813,object detection,4,y
3371,quality control,4,y
3970,statistical programming languages,4,y
1377,deep,4,
2006,hive,4,y
3969,statistical programming language,4,y
2610,mine,4,
2126,information extraction,4,y
2608,mindset,4,
986,creatively,4,y
1934,graph,4,
1018,css,4,y
4378,unit tests,4,
4521,workflow,4,
4172,technical expertise,4,
1345,dataset,4,
1538,distributed processing,4,y
2850,ontology,4,y
2552,media,4,
21,a/b testing,4,y
3958,statistical methodologies,4,y
819,companys,4,
4529,write,4,
3417,r&d,4,
2898,optimise,4,
26,access,4,
3653,scalable solutions,4,y
3900,speech processing,4,y
3047,policies,4,
3038,platform,4,
833,computation,4,
304,assess,4,
835,computational,4,
1087,data access,4,
248,anomaly detection systems,4,y
1382,deep learning algorithms,4,y
2728,multitask,4,y
2680,modeling techniques,4,y
4020,strategic thinking,4,y
1724,evidence generation,4,y
3710,search engines,4,y
951,conversion,4,
2971,patterns,4,y
2710,motivate,4,y
1978,hbase,4,y
1964,guide,4,y
4463,visualisation tools,4,y
3393,quantitative research,4,y
258,application development,4,y
4473,visualize,4,y
1046,customer intelligence,4,y
3391,quantitative models,4,y
1043,customer experiences,4,y
3688,scikit-learn,4,y
931,content,4,
2753,natural sciences,4,y
121,airflow,4,y
3602,root cause analysis,4,y
3693,scoring,4,
955,convolutional neural networks,4,y
188,analytical insights,4,y
1430,descriptive statistics,4,y
1948,graph theory,4,y
1587,dutch,4,y
3561,results,4,
2913,optimizing,4,
3413,quicksight,4,y
3389,quantitative modeling,4,y
4412,validating,4,
861,computer sciences,4,y
4039,structured,4,
3734,self-directed,4,y
1077,"d3,",4,y
3733,self-development,4,y
2915,oracle,4,y
1072,cyber security,4,y
3731,self,4,
3001,personal development,4,y
3362,qlik,4,y
84,aggregation,4,y
4436,verify,4,
3915,stack,4,
4437,verifying,4,
2782,neuroscience,4,y
3295,project work,4,
3152,probabilities,4,y
594,c/,4,y
2231,intuition,4,y
3260,professional services,4,y
2373,linear programming,4,y
4274,theories,4,
536,business experience,4,
4280,thought,4,
3878,source data,4,y
662,churn prediction,4,y
2468,manipulating,4,y
2251,iterating,4,
3514,reliability,4,
1176,data model,4,y
2276,julia,4,y
3808,simulation models,4,y
2473,map,4,
709,clinical development,4,y
2188,intellectual curiosity,4,y
656,chinese,4,y
2475,mapping,4,
2228,interrogate,4,y
4152,technical capabilities,4,y
3228,production data,4,y
1887,genomics,4,y
3501,relational,4,
3831,social network analysis,4,y
2256,iteratively,4,
4212,technical writing,4,y
3170,problems,4,
3875,source code,4,y
1228,data science libraries,4,y
1824,forecast,4,y
2259,japanese,4,y
1250,data strategy,4,y
3440,real,4,
513,building models,4,y
1220,data requirements,4,
2348,lending,4,
1144,data gathering,4,y
4151,technical blogs,4,y
1146,data governance,4,y
1238,data set,4,
4240,tensorflows,4,y
604,calculus,4,y
638,centric,4,
1320,database design,4,y
4227,telecommunication,4,y
1915,global,4,
3089,predictive analysis,4,y
790,collection,4,
3463,recommendation engines,4,y
4338,translate,4,
1736,experimental,4,
1153,data insights,4,y
2498,marketing science,4,y
3164,problem solver,4,y
1732,experience,4,
1335,database technologies,4,y
701,client service,4,
4352,trees,4,
700,client relationships,4,y
1731,exogenous data,4,y
4171,technical experience,4,y
4097,system design,4,y
3787,sets,4,
3467,recruiting,4,
3198,product decisions,4,
4324,trainings,4,
644,change management,4,y
541,business impact,4,y
4226,telecom,4,y
651,chatbots,4,y
1308,data-oriented,4,y
3097,predictive maintenance,4,y
3803,significance testing,4,y
4180,technical knowledge,4,y
1756,explore,4,
530,business decision making,4,y
2490,marketing automation,4,y
1226,data science engineering,3,y
3868,solving,3,
3390,quantitative modelling,3,y
3869,solving problems,3,y
3690,scipy stack,3,y
1234,data sciences,3,
3388,quantitative methods,3,y
1162,data lakes,3,y
1817,flexible,3,y
1471,devise,3,
1925,government,3,
1584,due diligence,3,y
1605,ecommerce,3,y
3660,scenario analysis,3,y
3649,scalable models,3,y
1533,distributed datasets,3,y
3461,recognition,3,
1010,cross validation,3,y
1532,distributed databases,3,y
1529,distributed data,3,y
3465,recommender systems,3,y
1988,health insurance,3,y
1987,health economics,3,y
1015,cross-validation,3,y
3470,recurrent neural networks,3,y
1206,data profiling,3,y
3840,software design,3,y
1210,data protection,3,y
1827,forecasting models,3,y
3939,statistical computer languages,3,y
1581,drug discovery,3,y
3670,scientific computing,3,y
3450,real-time analytics,3,y
1983,health care,3,y
1875,generate insights,3,y
3940,statistical concepts,3,
3616,safety,3,
1592,dynamic pricing,3,
1219,data reporting,3,y
1496,digital technologies,3,y
3678,scientific method,3,
3679,scientific methods,3,
3682,scientific research,3,y
1487,digital health,3,y
1616,educational,3,y
3396,quantitative social science,3,y
1883,genomic,3,y
3433,rdbms,3,y
1764,facilitation,3,
1769,fccm,3,y
1088,data accessibility,3,
1902,geospatial analysis,3,y
3554,response modeling,3,y
1901,geospatial,3,y
3750,semantic,3,
3879,sources,3,
3911,sql,3,y
1774,feature engineering,3,y
3738,self-education,3,y
1407,demand forecasting,3,y
3510,relationship management,3,y
1940,graph database,3,y
3410,question answering,3,
1943,graph databases,3,y
1126,data discovery,3,y
1699,erp,3,y
1298,data-driven strategy,3,y
3521,report writing,3,y
1730,execution,3,
3419,r.,3,y
1718,evangelize,3,y
3778,serverless architecture,3,y
1102,data architectures,3,y
1331,database skills,3,y
1919,go,3,y
1325,database programming,3,y
1712,etls,3,y
1742,experimentation design,3,y
1744,experimenting,3,
3903,spoken,3,
1311,data-science,3,
3793,shell scripting,3,y
3428,rapidminer,3,y
1661,engineer,3,
1414,demonstrations,3,y
3595,robotic process automation,3,y
1452,dev,3,
1636,embeddings,3,y
1145,data generation,3,y
3494,regressions,3,y
3899,speech,3,
1451,detection,3,
1963,guidance,3,
1147,data handling,3,y
3394,quantitative science,3,y
3409,querying databases,3,y
1456,develop processes,3,y
1627,electrical,3,y
3874,source,3,
3593,rl,3,
1150,data ingestion,3,y
3441,real data,3,
1235,data security,3,y
3583,risk,3,
3580,revision control,3,y
1992,health technology,3,y
1061,customer segmentations,3,y
1660,engine,3,
1788,financial data,3,y
1069,customer view,3,
1789,financial engineering,3,y
1791,financial industry,3,y
1266,data validation,3,y
1792,financial insights,3,y
3726,segmentations,3,
1656,engagement,3,
3571,revenue,3,
3572,revenue generation,3,
3503,relational database,3,y
3405,query performance,3,y
1798,financial modeling,3,y
1436,design experiments,3,y
3462,recommendation,3,y
1542,distribution,3,
1003,critical insights,3,y
4453,vision,3,
175,analytical capabilities,3,y
2302,knowledge sharing,3,
2305,kotlin,3,y
626,causal,3,y
2308,kubernetes,3,y
617,career,3,
3193,product analytics,3,y
2323,large,3,
3190,procurement,3,
2328,large-scale data science,3,y
2689,modelling.,3,y
599,"caffe2,",3,y
3183,process pipelines,3,y
593,c++.,3,y
4195,technical requirements,3,
2984,performance metrics,3,y
186,analytical frameworks,3,y
584,businesss,3,
4203,technical solution,3,y
190,analytical methodologies,3,y
574,business strategy,3,
4208,technical strategy,3,
2355,life,3,
2356,life insurance,3,y
2671,model validation,3,y
4219,technologie-themen,3,
2670,model training,3,y
552,business model,3,y
551,business metrics,3,
2695,molecular biology,3,y
639,certification,3,
2372,linear models,3,y
643,champion,3,
2225,interpreting,3,
2226,interpreting data,3,y
2935,organizational success,3,y
4126,targeting,3,
2236,investigate,3,
705,clinical,3,y
120,ai.,3,y
4132,teaching,3,y
695,client management,3,y
2748,natural language,3,y
4134,team building,3,y
3229,production deployment,3,y
4137,team work,3,y
4139,team-work,3,
2742,named entity recognition,3,y
682,cleanse,3,y
679,clean,3,y
2740,mysql,3,y
4145,technical analysis,3,y
4153,technical challenges,3,y
4466,visualise,3,y
149,analyse data,3,y
2721,multi-,3,
2720,multi,3,
2714,motivation,3,y
2713,motivating,3,
649,charts,3,y
645,channel,3,
164,analysis.,3,
547,business knowledge,3,
4228,telecommunications,3,y
3249,productizing,3,
262,applications development,3,y
267,applied data science,3,y
4310,tooling,3,
3029,pilot,3,
2488,marketing analytics,3,y
400,bayesian statistics,3,y
397,bayesian networks,3,y
394,bayesian model,3,y
392,bayesian inference,3,y
281,architecting,3,y
385,bash,3,y
289,architectures,3,y
380,bagging,3,y
4329,transactional data,3,
4333,transform,3,
309,asset management,3,y
2577,meet deadlines,3,
4340,translation,3,y
2575,medicine,3,
4342,transport,3,
2519,mathematical methodologies,3,y
2521,mathematical modelling,3,y
3048,policy,3,
3055,portuguese,3,y
4354,trial data,3,
3077,predicting,3,
4357,trials,3,
338,automated anomaly detection,3,y
4360,troubleshoot,3,y
330,audit,3,
264,applied analytics,3,y
417,bert,3,y
197,analytical modelling,3,y
430,big data implementations,3,y
3162,problem resolution,3,y
3158,problem,3,
2385,listening,3,y
3157,probability theory,3,y
2995,periscope,3,y
4235,tensor flow,3,y
518,business administration,3,
214,analytical technology,3,y
502,budget,3,
4246,test design,3,y
222,analytics applications,3,y
2406,lstm,3,y
3007,persuasive design,3,y
3009,ph.d,3,
2642,model creation,3,y
488,blogs,3,
4417,value,3,
238,analyzed,3,y
2425,machine learning.,3,y
3017,phd,3,
471,biomedical informatics,3,y
3019,photography,3,
2628,mobile,3,
3021,physical,3,
2465,mandarin,3,y
439,big data stacks,3,y
436,big data science,3,y
2620,ml libraries,3,y
4295,time series modeling,3,y
2756,negotiate,3,y
4161,technical design,3,y
2204,interface,3,y
2799,nosql,3,y
3308,propensity modeling,3,y
66,adtech,3,y
862,computer security,3,y
859,computer programming,3,y
2804,numerical,3,
940,continuous improvement,3,y
4045,structured programming languages,3,y
2800,nosql databases,3,y
4048,structures,3,
4526,working relationships,3,
2123,information,3,
2787,nifi,3,y
4053,success,3,
4508,weka,3,y
829,complexity analysis,3,y
828,complex problems,3,y
2789,nltk,3,y
2026,hypothesis,3,
4064,supply chain management,3,y
83,aggregating data,3,y
3293,project plans,3,
3292,project planning,3,y
4511,windows,3,y
4037,structure,3,
2108,industrialization,3,
2042,ideation,3,y
2067,imaging data,3,y
3331,psychometric,3,y
908,consultancy,3,y
4008,strategic action,3,y
907,consult,3,y
4007,strategic acquisition,3,y
55,ad targeting,3,y
4016,strategic plans,3,
56,ad-,3,
3341,publishing,3,
893,confidence intervals,3,y
3346,pyspark,3,y
2082,implemented,3,
887,conceptualizing,3,y
60,adaptability,3,
881,conception,3,
3317,proposal development,3,y
2043,identification,3,
877,computing platforms,3,y
61,adaptable,3,y
4514,word embeddings,3,y
2025,hypotheses validation,3,y
3984,statistics direct,3,y
774,cognitive solutions,3,y
3961,statistical model,3,y
4082,survey design,3,y
4543,yoga,3,
752,code development,3,y
2778,neural nets,3,y
2168,inspecting,3,
2187,intellectual,3,
957,cooperating,3,y
2169,inspire,3,y
779,collaborates,3,y
985,creative thinking,3,y
2775,networks,3,y
808,communicates,3,y
2174,instrumentation,3,
3972,statistical significance,3,y
2177,insurance claims,3,y
954,convolutional networks,3,y
2189,intellectual property,3,y
2151,innovating,3,y
796,command line,3,y
2198,interactive,3,y
4501,web-scale,3,
3957,statistical machine learning,3,y
4486,web analytics,3,y
2000,heuristics,3,y
2181,integrating,3,
3269,program,3,
3538,research methodology,2,y
1686,entity linking,2,y
1674,enterprise,2,
2864,operating,2,
1688,entity resolution,2,y
1687,entity recognition,2,y
3633,scala.,2,y
1562,documenting,2,y
2548,measuring,2,
3559,result,2,
1677,enterprise data lakes,2,y
1547,django,2,y
2615,ml algorithm,2,y
3022,physical sciences,2,y
2863,opennlp,2,y
1682,enterprise solutions,2,y
2896,optimality,2,
2619,ml languages,2,y
2824,observation data,2,y
2561,medical affairs,2,y
2594,methodology development,2,y
3542,researches,2,
1689,entrepreneurial,2,
2880,operational planning,2,y
2591,methodological,2,
1702,error metrics,2,y
3034,pivot tables,2,y
2849,ontologies,2,y
2589,metadata,2,
2602,microservices,2,y
1707,etl development,2,y
2845,online ecommerce,2,y
2604,microsoft office suite,2,y
2626,ml/dl,2,y
2842,oncology,2,y
2587,messaging,2,y
2605,microstrategy,2,y
2837,omni-channel optimisation,2,y
2606,military,2,
3040,platform engineering,2,y
2877,operational efficiency,2,
1694,environmental,2,
