employer,industry
"JPMorgan Chase Bank, N.A.",Manufacturing
UST Global Singapore Pte Limited,IT
Accenture,Finance
TN Apex Skill Development Centre for Healthcare,Government
NEW MALU TRANSPORT,Logistics
ITIPS ADVISORY,Human Resources
Wize Enterprises,Construction
Cerner Corporation,Logistics
"JPMorgan Chase Bank, N.A.",IT
Volvo Group,Real Estate
Asian Paints,Admin
ION IP Optical Networks,Mechanical
ASIATIC TRADERS,Advertising
Mayur Lifestyle,Management
Neev Classes,Computer
Garrett Advancing Motion,Manufacturing
Precision Group,IT
Banctec Tps India Private Limited,IT
Global Kidz,Teacher
Sminetech Solutions Pvt Ltd,IT
"JPMorgan Chase Bank, N.A.",Human Resources
PMG Consultants,Retail
Tantransh Solutions,IT
98 Digital Communication,Social Media
Inspire Global Solutions,Human Resources
Blitzpath Innovations Private Limited,IT
Citrix,Management
CDK Global,Sales
Public Health Foundation of India,Security
Lionbridge Technologies,Manufacturing
Stemmons Business Services,Architecture
Max Business Consultancy Private Limited,Part time
CDO Chief Digital Office,Admin
Excel It Services Private Limited,Engineering
Tivona Global Technologies,IT
Afrin Sithara J (Proprietor Of Shahi India Co),Human Resources
bajajallianz,Management
Buzzworks,Sales
Philips,Management
Infosys Limited,Consultant
Hewlett Packard Enterprise,Construction
Vijay Kumar ( Proprietor of S R Recruiters),Human Resources
Dun & Bradstreet,IT
Finrays,Arts
Alban Communications India Private Limited,Advertising
double negative visual effects,Manufacturing
Apttrix E-Classes,IT
Riju Karan (Proprietor Of Toyota Climax India),Scientific
AJ Career,Management
Yes Bank,Management
University of Hull,Education
Grab Taxi,Management
Freshworks,IT
Singhal Industries Pvt Ltd,Marketing
Bookmark Projects Trust,Manufacturing
ABB,Manufacturing
IM Solutions,Social Media
Deloitte,IT
Apollo Hospitals,Admin
Dell Technologies,Finance
AllGoVision Technologies,Computer
lotus consulting and training solutions,Training
CIEL HR Services,Hospitality
Genpact,Computer
Trimble,Engineering
AMZ Automotive Industry,Marketing
AI Engineer,Engineering
Stalwart management consulting,Government
Genpact,IT
Raaho - Quick Digital Technologies Pvt Limited,Engineering
Construction Safety,Marketing
Cerner Corporation,Computer
Virtusa,Engineering
3geometre.com,Advertising
DELTUS REALTY,Management
BlueJeans,IT
IHS Markit,Manufacturing
"Samaritan InfoTech, Indore",IT
Progress,Management
Futures and Careers,Recruitment
HiFX IT & Media Services,IT
LegalFin Advisors,Finance
Confer Global,Bank
Rexon-Proserv,Management
AJ Career,Manufacturing
Yash Technologies,Consultant
freshworks,Marketing
Intel,Engineering
Vodafone,Consultant
C2L Biz,IT
Qualitest,Consultant
Air Ticketing Executive,Customer Service
Applied Materials Inc.,Computer
Six Sigma,Admin
AISPL - Karnataka,Management
CIEL HR Services,Construction
Charu Papers,Arts
Fujitsu,Finance
Thales Group,Healthcare
Intellexe Management Consultants,Consultant
Matrix Weighing Systems,IT
"Milestone job consultant ,Raipur",Sales
ElasticRun,Management
Gamma Process Hub,Customer Service
HARDWARE AND NETWORK ENGINEER,Electronics
IBM,Finance
Sanap & Associates,Accounting
Connecting 2 Work,Manufacturing
Flexiventures Private Limited,Manufacturing
MYEQ SERVICES PRIVATE LIMITED,Marketing
NTT DATA Services,Admin
TietoEVRY,IT
Nucleus Software Exports Limited,IT
Johnson Controls,Accounting
Krudh Solutions For Life Private Limited,Engineering
Rexon-Proserv,Advertising
adidas,Management
"Cothas Coffee Co.,",Admin
Accenture,Sales
Wipro LTD,Management
Genpact,Healthcare
ChargePoint,Management
"JPMorgan Chase Bank, N.A.",Admin
UnitedHealth Group,Engineering
Bajaj FinServ,Law Enforcement
Meera Industries Limited,Part time
World Bank Group,Management
Infysion Technologies Pvt. Ltd.,Human Resources
PrimoHunt Corporate Services,Bank
ZunRoof Tech,Finance
Compact Solutions,Management
Fox Media Hub,IT
SS Group,Walk in
Goldman Sachs,PR
Sand Martin consultants,Part time
ISO,Management
Adszeal Media,Social Media
DRÄXLMAIER Group,Admin
Junior Web Designer,Arts
Genpact,Admin
Morgan Stanley,Education
SCOPEWARE Inc,IT
Genpact,Consultant
Fractal.ai,Management
Lenovo,Social Media
Philips,Finance
Recruiters Choice,Marketing
Pradeep Sales,Computer
Fablead Developers Technolab,IT
Gios It Services,IT
NTT DATA Services,Human Resources
"Rural Development & Panchayat Raj, Chennai",Computer
BMRC Geomining Solutions LLP,Teacher
Cyient,Mechanical
Brand Provoke Consultants,Management
Cyient Inc,Sales
Maxiple Technology Private Limited,Engineering
Goalreify,Recruitment
Cognizant,Management
The United Multi State Credit Cooperative Society,Sales
Coherent Market Insights.,Marketing
Scanpoint Geomatics,Management
CCI Projects Pvt Ltd.,Marketing
Alchemy Research & Analytics,IT
HRvisory,Engineering
Trax e-services Pvt. Ltd.,Fresher
Minda Solution Tech Mark,IT
Marg Hospitality,Restaurant
Job Tech India staffing solution,Fresher
Reliance Jio Infocomm Limited,Engineering
BD,Part time
Kandla Port Trust,Hospitality
Coforge,Management
Infostretch Corporation,IT
Tenneco Inc.,Human Resources
Virtusa,IT
ANI Calls India Private Limited,Consultant
CrowdStrike,PR
seagatetec,IT
State Street Corporation,Finance
CHESA DENTAL CARE,Management
RoadExpress Technology Pvt. Ltd.,Management
Mathew Voyages Pvt. Ltd.,Internet
Barclays,Services
Ecorner Consultancy Pvt. Ltd.,Management
Synergy physiotherapy clinic,Medical
ReleaseMyAd,Social Media
Increff,Logistics
Thermo Fisher Scientific,Scientific
Goldman Sachs,Admin
IM Solutions,Marketing
eBizneeds Business Solutions Private Limited,IT
Bhartia Management Consultancy,Management
FARO Technologies,Sales
Thermo Fisher Scientific,Social Media
Febno Technologies,IT
Fortune Human Capital,Insurance
HDFC Bank,Manufacturing
ALSTOM,Networking
KHS INNOVATION AND ENGINEERING LLP,IT
Lenovo,Management
Dr Balasaheb Sawant Konkan Krishi Vidyapeeth,Mechanical
Novartis,Management
Ignatiuz Software,Automation
Defence Research and Development Organisation (DRDO),Scientific
3idatascraping,Management
OmTec Web,IT
Maatrum Technologies -Chennai,Human Resources
Cognizant,Accounting
Carrier,Consultant
Chaitanya HR Consultancy,Retail
Genesys,Manufacturing
ProMobi Technologies,IT
EY,Admin
Taxmann Technologies Pvt. Ltd.,Social Media
Staffio HR,Marketing
Axis Globex Career,Healthcare
AcadsHR,Admin
Simeio Solutions,Facilities
"JPMorgan Chase Bank, N.A.",Automation
PwC,Management
Bank of America,Scientific
Yashaa Digital,Arts
Sapiens,Travel
CAPCO,Management
Inspire Global Solutions,Fresher
Deutsche Bank,IT
RCPC,Real Estate
Kanishk Hospital,Services
Morgan Stanley,IT
Siemens Technology and Services Private Limited,Scientific
Hero Moto Corp,Networking
CIEL HR Services,Consultant
CNTC India Projects,Sales
Quest Global Technologies Ltd.,IT
Zensar Technologies,Engineering
Global Vision,Volunteering
IncubXperts TechnoConsulting Pvt Ltd.,IT
Google,Services
Arsaviva Technologies Private Limited,Marketing
CoreIP Legal Services,Legal
Redaround hr consultancy's Client,Management
Genpact,Manufacturing
Johnson Controls,IT
iTool Solutions,Admin
Ernst & Young,Management
DigitalXpert,Part time
ServPRO Technologies,Human Resources
Dvdasjobs,Sales
OPTCL,Training
Standard Chartered,IT
DNA Growth,Part time
NTT Communications ICT Solutions,IT
DayToDay Health,Engineering
Yashus Digital Marketing,Marketing
IT Bridge Technologies,IT
Fashionvibes e-commerce world pvt ltd,Admin
Priya IT And HR Solutions,IT
Johnson & Johnson Family of Companies,Management
Western Overseas,Security
Chimpzlab Communications Private Limited,Social Media
Riju Karan (Proprietor Of Toyota Climax India),Electronics
Brand Provoke Consultants,Fresher
Goldman Sachs,Manufacturing
ANI Calls India Private Limited,Sales
Transasia,Scientific
4lotus interiors,Manufacturing
Genpact,Advertising
Pfizer,Manufacturing
"CGI Group, Inc.",Engineering
Fox Media Hub,Retail
opentext,Engineering
Abyeti Technologies Pvt. Ltd,Manufacturing
Spotinjob,Hospitality
TransUnion,Automation
Micron,Recruitment
"JPMorgan Chase Bank, N.A.",Finance
EY,Sales
Doubletree by Hilton,Hospitality
SS&C Technologies,IT
IBM,IT
"JPMorgan Chase Bank, N.A.",Bank
Learnship Networks GmbH,Electronics
Digital workshop,IT
SERVILINK ENGINEERS PVT LTD,Automation
Tata Communications,IT
Telebu,Engineering
Quantum Asia Pvt Ltd,Insurance
Lionbridge Technologies,IT
Accenture,Automation
iT Gurus Software,Facilities
CNTC India Projects,Admin
PepsiCo,Management
D Source,Sales
Fidelis Corporate Solutions Private Limited,Sales
"Cytel, India",Management
Lionbridge Technologies,Automation
Sheth Publishing House,Publishing
Transpek-Silox,Manufacturing
Microsoft,IT
The Website Factory London,IT
WHISHWORKS,Management
Evolent Health,Consultant
Integrated Personnel Services Private Limited,IT
Bhartia Management Consultancy,Bank
Inspire Global Solutions,Part time
iimJobs,IT
UBS,Management
Acharya Associates CA,Admin
"Advanced Micro Devices, Inc.",Engineering
Quy Technology Pvt Ltd,Arts
Mejora Jobs And Education,IT
State Street Corporation,IT
Wize Enterprises,Part time
V4U JOBS HR CONSULTANTS,IT
Bnksvee Consultant,Loans
NTT DATA Global Delivery Services Limited,Consultant
"Agilent Technologies, Inc.",Sales
WELLS FARGO BANK,Manufacturing
Episodiclabs Private Limited,Restaurant
MINDBODY,Engineering
EY,Management
Trek Bikes,Management
Shayak Biswas,Social Media
Rexon-Proserv,Sales
Prodapt SA,IT
McGraw Hill,Security
Unisys,Engineering
RAFFLES,Restaurant
Wells Fargo,Engineering
Innova Amtech LLP,PR
Shakun Sharma (Proprietor Of FM Industry),Human Resources
Unisys,IT
Eminence Tech System Private Limited,IT
Jubilant Generics Limited,Management
Bigscal Technologies Pvt Ltd,Part time
Divine Overseas,Sales
Fujitsu,Management
Unacademy,Engineering
BISIL,PR
sapwood ventures,Education
Position2,Management
Yes Bank,Sales
Smarter.Codes,IT
SA Technologies Inc.,Engineering
Raj Softech Solutions India Private Limited,Management
Qualcomm India Private Limited,Management
Ernst & Young,Insurance
ADCI - Karnataka,Training
ADP Pvt Ltd - India,Automation
Manoj Kumar Sahoo (Proprietor of Corporate Resources),Manufacturing
UE Systems IMENA Pvt Ltd,Engineering
Unibail-Rodamco-Westfield,Human Resources
Caculo Group,Management
FedEx Express MEISA,Management
Connecting 2 Work,Part time
Edithtech Infrastructure Pvt. Ltd.,IT
Ernst & Young,Security
Technospike IT Solutions Pvt Ltd,Publishing
IBM,Human Resources
Prima International,Management
iT Gurus Software,Management
DXC Technology India,IT
Bharat Service,Facilities
Fifth Avenue Event Management,Hospitality
UnitedHealth Group,PR
WELLS FARGO BANK,Finance
Syngenta India Limited,Management
GLOBALFOUNDRIES,Manufacturing
Abbott Laboratories,Sales
Minda Solution Tech Mark,Computer
Clifford Chance LLP,Construction
Cognitive Design Technology Pvt Ltd,Engineering
"Marriott International, Inc",Security
DGTAL PR,PR
S&P GLOBAL MARKET INTELLIGENCE,Engineering
VNurt Technology Solutions Private Limited,Sales
Innovius Overseas Consultants Private Limited,IT
Transasia,Management
SJ Innovation LLC India Office,Engineering
IBM,Bank
(Proprietor Of Birla Technology),Management
Testbook,IT
Galaxy Weblinks,Arts
"JPMorgan Chase Bank, N.A.",Government
Testbook,Teacher
InMobi,IT
Credit Suisse,Management
Google,Customer Service
DRÄXLMAIER Group,IT
D Source,Mechanical
Stock Holding,Training
Vertiv Co.,Sales
Nibhas hrd solutions,Medical
Health Care at Home India Pvt Ltd,Healthcare
skilora,Part time
"Marriott International, Inc",Food Service
Geebee,Arts
Digitant Talent Solutions,IT
Sterlite Power Transmission Limited,Admin
FANCY INTERNATIONAL,Fresher
Global Solutions System LLP,Social Media
Profile Enterprises Ltd,IT
Cognizant,Social Media
Leuwint,IT
SAHYOG JOBS CONSULTANCY,Admin
Unison International Consulting Pvt. Ltd,Manufacturing
Arccaa Analytics And IT Solutions LLP,IT
NTT DATA Global Delivery Services Limited,Healthcare
Hem Securities,Security
Dpay Consultancy Service Private Limited.,Consultant
Accenture,Scientific
Annapurna College of Film and Media,Travel
Aera Technology,IT
Kelly Services Internal,IT
ServiceNow,Management
Unisys India Private Limited,Management
BirlaSoft,Management
Yashus Digital Marketing,Social Media
Golden Opportunities,Bpo
Shyam Steel Industries,Part time
DXC,Finance
ROHDE & SCHWARZ GmbH & Co. KG,IT
S&P GLOBAL MARKET INTELLIGENCE,Scientific
Caterpillar,Construction
Datamatics Global Services Limited,Restaurant
Accenture,Admin
Empower Retirement,Logistics
Diamondpick Private Limited,Human Resources
IM Solutions,Internet
ERM Group,Healthcare
Uniterrene Websoft Pvt. Ltd,Education
HEADSTART GLOBAL,Consultant
Client of hajra group,Manufacturing
Dreams Management,Admin
Plada Infotech Services Pvt Ltd,PR
PayPal,IT
Trane Technologies,Networking
Tekskills India Private Limited,Management
Accenture,Transportation
Venpa Staffing Services India Private Limited,Customer Service
"JPMorgan Chase Bank, N.A.",Consultant
IIT Bombay,Government
TutorBin,Manufacturing
SRA ELECTRICALS,Part time
EY,Bank
ConsultBae,Recruitment
Get Me Rank,Security
NIT Tiruchirappalli,Engineering
United Way Mumbai,Management
CDO Chief Digital Office,Scientific
Mind Circus Innovations,Logistics
MSCWB,Healthcare
ICF,Scientific
Turning Point,Sales
MasterCard,Logistics
"Techware Software Solutions Pvt Ltd, Infopark Kakkanad",Marketing
"Fiserv, Inc.",Engineering
HR & Administration,Recruitment
Seven Star Services,Human Resources
Careator Technologies,Consultant
REXX TECHNOLOGIES,Arts
Cognizant,Computer
3M Technology,IT
Primus Placement Services,Marketing
Epsilon India,IT
EY,Mechanical
"Zendrive, Inc.",Engineering
Innovary Technologies,IT
Bank of America,Admin
Bajaj Finance Limited,Manufacturing
Barclays,Consultant
Digitalgrahak,Marketing
Larsen & Toubro Infotech Limited,IT
amdocs,Engineering
BD,IT
Ernst & Young,Finance
Automation.CO.,Management
Kinglife Infra Pvt. Ltd.,Sales
Star Infotech,Admin
Micron Semiconductor Asia Operations Pte. Ltd,IT
MSR India,Facilities
ADCI HYD 16 SEZ,Publishing
ICX4,Manufacturing
ANI Calls India Private Limited,IT
Cognizant,Sales
Development Alternatives Group,Management
Virtusa,Manufacturing
PANASH DESIGN STUDIO,Part time
Zonic Digital,Sales
Princeton Academy,Management
FarEye,Accounting
Vudum Srinu (Proprietor Of Suncity Star Technology),IT
Lmv Financial Services Pvt Ltd,Management
AMRAO,Computer
Gartner,Management
MESSYWESSY INDIA (OPC) PRIVATE LIMITED,Retail
Remedy Yards,Sales
CBRE,Admin
OS HRS,Security
IBM,Computer
Acme Services,Finance
BRIDGE Global,Management
BNY Mellon,Education
Juniper Networks,IT
Global Kidz,Sales
MANMAN INDIA PVT LTD,Mechanical
Park Hyatt Hyderabad,Hospitality
CAFSInfotech,IT
Social Media Executive,Manufacturing
Flipkart.com,Teacher
Cynosure Corporate Solutions,Marketing
Lavya Associates,Manufacturing
Tera Ventura Agro & Textiles Private Limited,Sales
Xoxoday.com,Management
ACP BILLING SERVICES,IT
"JPMorgan Chase Bank, N.A.",Sales
ADCI - BLR 14 SEZ,Volunteering
NHRC,Insurance
Inspire Global Solutions,Bank
Cognizant,Consultant
Vardhman garments,Retail
the mammoth,Finance
KhetiPoint,Arts
UNIMAX,Computer
Mercedes-Benz Research and Development India Private Limited,Engineering
Saarthi Management Consultants,Part time
Varuna Integrated Logistics,Part time
Divya Placement,Admin
skypoint pvt ltd,Advertising
Amazon Dev Center India - Hyd,Management
iT Gurus Software,IT
Innoveo,Management
Telstra,Training
Info Job Consultancy,Engineering
Biltrax Construction Data,Scientific
Jaydee Enterprises,Computer
Lionbridge Technologies,Publishing
Citi,Management
Vodafone,PR
Lionbridge Technologies,Sales
Kanishk Hospital,Scientific
Flipkart,Transportation
Commonwealth Bank,Engineering
Manoj Kumar Sahoo (Proprietor of Corporate Resources),Management
CrossTab IT Consulting Private Limited,Recruitment
Flexiventures Private Limited,Sales
Vodafone,Management
G.B. Pant University of Agriculture and Technology,Education
SV Placement Solutions,Education
realworld one GmbH & Co KG,IT
UST Global Singapore Pte Limited,Accounting
Michael Page,Consultant
Rakuten,Human Resources
Diverse Lynx India,Manufacturing
Vipany Group,Finance
AtliQ,Engineering
SAP,Consultant
Innovsol Systems & Technology,IT
Freelancer Prasenjit Dey,Sales
Datamatics Global Services Limited,IT
Bingage,Human Resources
SAP,IT
Wipro LTD,Admin
Serviam Consultancy Services,Management
AVEVA,Management
M/s Trans Enterprises Pvt. Ltd.,Manufacturing
OSSRoot,IT
Citi,Sales
Tech mahindra,Security
GA Digital Solutions,Part time
Neelam Enterprise,Bpo
Pearson,Admin
Rexon-Proserv,IT
Infochola,Management
IBM,Recruitment
coral it solutions,Management
AOG-JC,Logistics
"JPMorgan Chase Bank, N.A.",Insurance
Cognizant,Recruitment
Zscaler,Engineering
Gill Media Studio,IT
SUNGWOO HITECH AP PRIVATE LIMITED,Manufacturing
Schneider Electric,Management
freshermart,Admin
"JPMorgan Chase Bank, N.A.",Computer
Aivoks Technologies Private Limited,Electronics
Virtusa,Finance
EY,Finance
The Indian Institute of Science Education and Research (IISER),Admin
AFT Recruiters,IT
Morningstar,Management
Coforge,Engineering
Dedicated Freight Corridor Corporation of India Limited (DFCCIL),IT
Marsh and McLennan,Engineering
Dreams Solution,Management
RichkenMedia,IT
HEADSTART GLOBAL,Management
Future India Services,Customer Service
Involgix Inc,Management
"Marriott International, Inc",Healthcare
Marg Hospitality,Accounting
ANI Calls India Private Limited,Architecture
Verve Systems,IT
Roots Innovation Labs Pvt. Ltd,Engineering
Mindshare,Management
Dr Ethix Product and service Pvt Ltd,Healthcare
Datalligence AI Private limited,IT
IntegRhythm,Social Media
DXC,Accounting
DuPont,Admin
AJ Career,Part time
Incture Technologies,PR
Anindita Toy Company,Manufacturing
ETOE,Government
Teva Pharmaceuticals,Management
Hewlett Packard Enterprise,IT
21st Century Talent Services Private Limited,IT
Syngene,Healthcare
Sun Vacuum Formers India Pvt. Ltd,Manufacturing
Accenture,Networking
Net4,IT
Sri Ramachandra University,Government
A2z Web Infotech Pvt. Ltd.,Engineering
Action for Social Advancement (ASA),Human Resources
Snetzweb Private Limited,IT
Accenture,Architecture
Millions Kart Private Limited,Sales
APPWRK IT Solutions,Engineering
Standard Chartered,Accounting
HDFC Life,Management
ISWARYA FERTILITY CENTRE,Management
State Street Corporation,Automation
Upstox,Management
Standard Chartered,Consultant
Bottomline Technologies,Engineering
Digital Marketing Mirchi,Management
M/S. RK AGENCIES,Sales
PrintMine,Arts
Webfarmatics Technology Pvt Ltd,Scientific
HDFC Life,Arts
Sakhi Recruiters,Sales
Ekrocx Technologies,IT
Cora Solutions LLP,Admin
Qrata,Services
Dr.Jivraj Mehta Hospital,Pharmaceutical
AISPL - Delhi,IT
"Agilent Technologies, Inc.",Management
DViO Digital,Restaurant
IBS Software,IT
Zensar Technologies,Management
Genpact,Management
NTT DATA Services,Customer Service
Alca Media Private Limited,Advertising
Nike,Engineering
Paradise Placement Consultancy,Sales
CBPS Software Services Pvt.Ltd,IT
Disys India Private Limited,IT
sapwood ventures,Part time
Sri Vaidya Kerala Ayurveda,Part time
Visionyle Solutions Private Limited,Security
ProKarma India,Automation
Instinct Innovations,Logistics
Fujitsu,PR
Equtick India Pvt. Ltd.,Finance
Sophos,Engineering
D Source,PR
Wise Monk,PR
Honeywell,Management
TDG,IT
NTT DATA Services,Facilities
Merkle Sokrati,Scientific
jobs in india,IT
Manheer Singh (Proprietor Of BigBoss Decor),Engineering
CredAble,Management
Optima tech.CO.,Fresher
ITIPS ADVISORY,Social Media
.Net_SQL Developer,IT
Reliance Jio Infocomm Limited,Construction
VV Pvt Ltd,Government
Paradise Placement Consultancy,Pharmaceutical
Overseas MBA,Marketing
Infosys Limited,Admin
SOLUSI NSTHR SOLUTIONS PVT LTD,Management
Magnet Brains Software Technology Private Limited,Manufacturing
Matrix Weighing Systems,Sales
CoreIP Legal Services,Management
Ernst & Young,Marketing
Jubilant Generics Limited,Pharmaceutical
adidas,Logistics
AMCARE HOSPITAL Zirakpur,Government
Morgan Advanced Materials,Management
Pfizer,Management
Beckman Coulter Life Sciences,PR
Ernst & Young,Manufacturing
State Street,Bank
Confer Global,IT
Finastra Software Solutions India Private Limited,Healthcare
"JPMorgan Chase Bank, N.A.",Recruitment
Gigforce Private Limited,Logistics
Jasraj Properties,Sales
Lucid Infosystems,Admin
ICX4,IT
PwC,Consultant
Reliance Jio Infocomm Limited,IT
Legislative Assembly Secretariat Uttar Pradesh,Admin
Monotype,Retail
"Birla Open Minds International School, Kurnool, AP",Education
Atlas Copco (India) Ltd.,Engineering
Innovsol Systems & Technology,Sales
Shree Consultancy Services,Admin
Khoros,Engineering
Teva,Management
Sophus It Solutions LLC,Security
IBM,Scientific
Tirupati Balaji Advertising & Marketing,Social Media
Reliance Jio Infocomm Limited,Admin
Brand Provoke Consultants,Sales
Dell Technologies,Management
Fox Media Hub,Management
ADCI - Karnataka,IT
"JPMorgan Chase Bank, N.A.",Retail
ANI Calls India Private Limited,Scientific
TransUnion,Engineering
Oracle,Travel
S&P Global,Part time
Google,Healthcare
Hitachi,IT
ITVEDANT Education Pvt. Ltd.,IT
Rexon-Proserv,Bank
Codetribe Solutions Private Limited,IT
IQVIA,Management
Wells Fargo,Management
Wingify Software Pvt. Ltd.,Engineering
hdb financial services,Sales
Whatfix,IT
British Council,Management
Tech Exactly,IT
Goldman Sachs,Accounting
Dun & Bradstreet,Human Resources
